 "gate Voltage (V)", "gate Int. Voltage (V)",  "gate Current (A)", "source Voltage (V)", "source Int. Voltage (V)",  "source Current (A)", "drain Voltage (V)", "drain Int. Voltage (V)",  "drain Current (A)",
 1.000000000e+01, 1.000000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.550107732e-07, 2.000000000e-01, 2.000000000e-01, 1.550107732e-07,
 1.000000000e+01, 1.000000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -3.029473159e-07, 4.000000000e-01, 4.000000000e-01, 3.029473159e-07,
 1.000000000e+01, 1.000000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -4.439692154e-07, 6.000000000e-01, 6.000000000e-01, 4.439692154e-07,
 1.000000000e+01, 1.000000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -5.782190543e-07, 8.000000000e-01, 8.000000000e-01, 5.782190543e-07,
 1.000000000e+01, 1.000000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -7.058226988e-07, 1.000000000e+00, 1.000000000e+00, 7.058226988e-07,
 1.000000000e+01, 1.000000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -8.268895394e-07, 1.200000000e+00, 1.200000000e+00, 8.268895393e-07,
 1.000000000e+01, 1.000000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -9.415126979e-07, 1.400000000e+00, 1.400000000e+00, 9.415126979e-07,
 1.000000000e+01, 1.000000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.049769230e-06, 1.600000000e+00, 1.600000000e+00, 1.049769230e-06,
 1.000000000e+01, 1.000000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.151720383e-06, 1.800000000e+00, 1.800000000e+00, 1.151720383e-06,
 1.000000000e+01, 1.000000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.247412014e-06, 2.000000000e+00, 2.000000000e+00, 1.247412014e-06,
 1.000000000e+01, 1.000000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.336875365e-06, 2.200000000e+00, 2.200000000e+00, 1.336875365e-06,
 1.000000000e+01, 1.000000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.420128509e-06, 2.400000000e+00, 2.400000000e+00, 1.420128508e-06,
 1.000000000e+01, 1.000000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.497179046e-06, 2.600000000e+00, 2.600000000e+00, 1.497179046e-06,
 1.000000000e+01, 1.000000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.568028974e-06, 2.800000000e+00, 2.800000000e+00, 1.568028973e-06,
 1.000000000e+01, 1.000000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.632683231e-06, 3.000000000e+00, 3.000000000e+00, 1.632683229e-06,
 1.000000000e+01, 1.000000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.691164126e-06, 3.200000000e+00, 3.200000000e+00, 1.691164122e-06,
 1.000000000e+01, 1.000000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.743534275e-06, 3.400000000e+00, 3.400000000e+00, 1.743534269e-06,
 1.000000000e+01, 1.000000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.789929543e-06, 3.600000000e+00, 3.600000000e+00, 1.789929533e-06,
 1.000000000e+01, 1.000000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.830598174e-06, 3.800000000e+00, 3.800000000e+00, 1.830598162e-06,
 1.000000000e+01, 1.000000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.865931376e-06, 4.000000000e+00, 4.000000000e+00, 1.865931365e-06,
 1.000000000e+01, 1.000000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.896461081e-06, 4.200000000e+00, 4.200000000e+00, 1.896461075e-06,
 1.000000000e+01, 1.000000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.922810875e-06, 4.400000000e+00, 4.400000000e+00, 1.922810874e-06,
 1.000000000e+01, 1.000000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.945618748e-06, 4.600000000e+00, 4.600000000e+00, 1.945618747e-06,
 1.000000000e+01, 1.000000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.965470532e-06, 4.800000000e+00, 4.800000000e+00, 1.965470532e-06,
 1.000000000e+01, 1.000000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.982866531e-06, 5.000000000e+00, 5.000000000e+00, 1.982866531e-06,
 1.000000000e+01, 1.000000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.998216993e-06, 5.200000000e+00, 5.200000000e+00, 1.998216993e-06,
 1.000000000e+01, 1.000000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -2.011852208e-06, 5.400000000e+00, 5.400000000e+00, 2.011852208e-06,
 1.000000000e+01, 1.000000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -2.024036677e-06, 5.600000000e+00, 5.600000000e+00, 2.024036678e-06,
 1.000000000e+01, 1.000000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -2.034982513e-06, 5.800000000e+00, 5.800000000e+00, 2.034982514e-06,
 1.000000000e+01, 1.000000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -2.044860568e-06, 6.000000000e+00, 6.000000000e+00, 2.044860567e-06,
 1.000000000e+01, 1.000000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -2.053809207e-06, 6.200000000e+00, 6.200000000e+00, 2.053809204e-06,
 1.000000000e+01, 1.000000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -2.061941099e-06, 6.400000000e+00, 6.400000000e+00, 2.061941090e-06,
 1.000000000e+01, 1.000000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -2.069348494e-06, 6.600000000e+00, 6.600000000e+00, 2.069348472e-06,
 1.000000000e+01, 1.000000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -2.076107529e-06, 6.800000000e+00, 6.800000000e+00, 2.076107493e-06,
 1.000000000e+01, 1.000000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -2.082282170e-06, 7.000000000e+00, 7.000000000e+00, 2.082282134e-06,
 1.000000000e+01, 1.000000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -2.087928276e-06, 7.200000000e+00, 7.200000000e+00, 2.087928259e-06,
 1.000000000e+01, 1.000000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -2.093097656e-06, 7.400000000e+00, 7.400000000e+00, 2.093097634e-06,
 1.000000000e+01, 1.000000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -2.097840982e-06, 7.600000000e+00, 7.600000000e+00, 2.097840965e-06,
 1.000000000e+01, 1.000000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -2.102208139e-06, 7.800000000e+00, 7.800000000e+00, 2.102208124e-06,
 1.000000000e+01, 1.000000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -2.106245322e-06, 8.000000000e+00, 8.000000000e+00, 2.106245303e-06,
 1.000000000e+01, 1.000000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -2.109991439e-06, 8.200000000e+00, 8.200000000e+00, 2.109991377e-06,
 1.000000000e+01, 1.000000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -2.113477938e-06, 8.400000000e+00, 8.400000000e+00, 2.113477889e-06,
 1.000000000e+01, 1.000000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -2.116730838e-06, 8.600000000e+00, 8.600000000e+00, 2.116730821e-06,
 1.000000000e+01, 1.000000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -2.119772562e-06, 8.800000000e+00, 8.800000000e+00, 2.119772560e-06,
 1.000000000e+01, 1.000000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -2.122623042e-06, 9.000000000e+00, 9.000000000e+00, 2.122623042e-06,
 1.000000000e+01, 1.000000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -2.125300306e-06, 9.200000000e+00, 9.200000000e+00, 2.125300308e-06,
 1.000000000e+01, 1.000000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -2.127820849e-06, 9.400000000e+00, 9.400000000e+00, 2.127820866e-06,
 1.000000000e+01, 1.000000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -2.130199934e-06, 9.600000000e+00, 9.600000000e+00, 2.130199936e-06,
 1.000000000e+01, 1.000000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -2.132451657e-06, 9.800000000e+00, 9.800000000e+00, 2.132451637e-06,
 1.000000000e+01, 1.000000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -2.134588705e-06, 1.000000000e+01, 1.000000000e+01, 2.134588691e-06,
 1.000000000e+01, 1.000000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -2.136622139e-06, 1.020000000e+01, 1.020000000e+01, 2.136622132e-06,
 1.000000000e+01, 1.000000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -2.138561418e-06, 1.040000000e+01, 1.040000000e+01, 2.138561414e-06,
 1.000000000e+01, 1.000000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -2.140414630e-06, 1.060000000e+01, 1.060000000e+01, 2.140414627e-06,
 1.000000000e+01, 1.000000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -2.142188771e-06, 1.080000000e+01, 1.080000000e+01, 2.142188768e-06,
 1.000000000e+01, 1.000000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -2.143890000e-06, 1.100000000e+01, 1.100000000e+01, 2.143889999e-06,
 1.000000000e+01, 1.000000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -2.145523821e-06, 1.120000000e+01, 1.120000000e+01, 2.145523821e-06,
 1.000000000e+01, 1.000000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -2.147095181e-06, 1.140000000e+01, 1.140000000e+01, 2.147095181e-06,
 1.000000000e+01, 1.000000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -2.148608532e-06, 1.160000000e+01, 1.160000000e+01, 2.148608532e-06,
 1.000000000e+01, 1.000000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -2.150067868e-06, 1.180000000e+01, 1.180000000e+01, 2.150067867e-06,
 1.000000000e+01, 1.000000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -2.151476762e-06, 1.200000000e+01, 1.200000000e+01, 2.151476762e-06,
 1.000000000e+01, 1.000000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -2.152838403e-06, 1.220000000e+01, 1.220000000e+01, 2.152838403e-06,
 1.000000000e+01, 1.000000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -2.154155635e-06, 1.240000000e+01, 1.240000000e+01, 2.154155635e-06,
 1.000000000e+01, 1.000000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -2.155430992e-06, 1.260000000e+01, 1.260000000e+01, 2.155430992e-06,
 1.000000000e+01, 1.000000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -2.156666734e-06, 1.280000000e+01, 1.280000000e+01, 2.156666734e-06,
 1.000000000e+01, 1.000000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -2.157864879e-06, 1.300000000e+01, 1.300000000e+01, 2.157864879e-06,
 1.000000000e+01, 1.000000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -2.159027230e-06, 1.320000000e+01, 1.320000000e+01, 2.159027230e-06,
 1.000000000e+01, 1.000000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -2.160155413e-06, 1.340000000e+01, 1.340000000e+01, 2.160155413e-06,
 1.000000000e+01, 1.000000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -2.161250904e-06, 1.360000000e+01, 1.360000000e+01, 2.161250904e-06,
 1.000000000e+01, 1.000000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -2.162315064e-06, 1.380000000e+01, 1.380000000e+01, 2.162315064e-06,
 1.000000000e+01, 1.000000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -2.163349159e-06, 1.400000000e+01, 1.400000000e+01, 2.163349159e-06,
 1.000000000e+01, 1.000000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -2.164354393e-06, 1.420000000e+01, 1.420000000e+01, 2.164354393e-06,
 1.000000000e+01, 1.000000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -2.165331919e-06, 1.440000000e+01, 1.440000000e+01, 2.165331919e-06,
 1.000000000e+01, 1.000000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -2.166282860e-06, 1.460000000e+01, 1.460000000e+01, 2.166282860e-06,
 1.000000000e+01, 1.000000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -2.167208314e-06, 1.480000000e+01, 1.480000000e+01, 2.167208314e-06,
 1.000000000e+01, 1.000000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -2.168109365e-06, 1.500000000e+01, 1.500000000e+01, 2.168109365e-06,
