 "gate Voltage (V)", "gate Int. Voltage (V)",  "gate Current (A)", "source Voltage (V)", "source Int. Voltage (V)",  "source Current (A)", "drain Voltage (V)", "drain Int. Voltage (V)",  "drain Current (A)",
 2.000000000e-01, 2.000000000e-01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.730405891e-14, 1.000000000e+01, 1.000000000e+01, 1.730393372e-14,
 4.000000000e-01, 4.000000000e-01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -9.541912084e-14, 1.000000000e+01, 1.000000000e+01, 9.541855441e-14,
 6.000000000e-01, 6.000000000e-01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -3.302514003e-13, 1.000000000e+01, 1.000000000e+01, 3.302372998e-13,
 8.000000000e-01, 8.000000000e-01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -9.114890121e-13, 1.000000000e+01, 1.000000000e+01, 9.092727640e-13,
 1.000000000e+00, 1.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -2.497537600e-12, 1.000000000e+01, 1.000000000e+01, 2.497537604e-12,
 1.200000000e+00, 1.200000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -7.464034101e-12, 1.000000000e+01, 1.000000000e+01, 7.464034114e-12,
 1.400000000e+00, 1.400000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.993145447e-11, 1.000000000e+01, 1.000000000e+01, 1.993145448e-11,
 1.600000000e+00, 1.600000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -4.401552898e-11, 1.000000000e+01, 1.000000000e+01, 4.401552781e-11,
 1.800000000e+00, 1.800000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -8.482270742e-11, 1.000000000e+01, 1.000000000e+01, 8.482270794e-11,
 2.000000000e+00, 2.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.504600210e-10, 1.000000000e+01, 1.000000000e+01, 1.504600209e-10,
 2.200000000e+00, 2.200000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -2.556009184e-10, 1.000000000e+01, 1.000000000e+01, 2.556009184e-10,
 2.400000000e+00, 2.400000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -4.299238382e-10, 1.000000000e+01, 1.000000000e+01, 4.299238382e-10,
 2.600000000e+00, 2.600000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -7.382370087e-10, 1.000000000e+01, 1.000000000e+01, 7.382370086e-10,
 2.800000000e+00, 2.800000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.310140659e-09, 1.000000000e+01, 1.000000000e+01, 1.310140659e-09,
 3.000000000e+00, 3.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -2.325350813e-09, 1.000000000e+01, 1.000000000e+01, 2.325350813e-09,
 3.200000000e+00, 3.200000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -3.944568186e-09, 1.000000000e+01, 1.000000000e+01, 3.944568186e-09,
 3.400000000e+00, 3.400000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -6.290267500e-09, 1.000000000e+01, 1.000000000e+01, 6.290267500e-09,
 3.600000000e+00, 3.600000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -9.467817874e-09, 1.000000000e+01, 1.000000000e+01, 9.467817874e-09,
 3.800000000e+00, 3.800000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.358266244e-08, 1.000000000e+01, 1.000000000e+01, 1.358266244e-08,
 4.000000000e+00, 4.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.875059088e-08, 1.000000000e+01, 1.000000000e+01, 1.875059088e-08,
 4.200000000e+00, 4.200000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -2.510541621e-08, 1.000000000e+01, 1.000000000e+01, 2.510541611e-08,
 4.400000000e+00, 4.400000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -3.280643652e-08, 1.000000000e+01, 1.000000000e+01, 3.280643648e-08,
 4.600000000e+00, 4.600000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -4.204696066e-08, 1.000000000e+01, 1.000000000e+01, 4.204696065e-08,
 4.800000000e+00, 4.800000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -5.306478003e-08, 1.000000000e+01, 1.000000000e+01, 5.306478002e-08,
 5.000000000e+00, 5.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -6.615506535e-08, 1.000000000e+01, 1.000000000e+01, 6.615506535e-08,
 5.200000000e+00, 5.200000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -8.168538506e-08, 1.000000000e+01, 1.000000000e+01, 8.168538506e-08,
 5.400000000e+00, 5.400000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.001105500e-07, 1.000000000e+01, 1.000000000e+01, 1.001105500e-07,
 5.600000000e+00, 5.600000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.219809659e-07, 1.000000000e+01, 1.000000000e+01, 1.219809659e-07,
 5.800000000e+00, 5.800000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.479325191e-07, 1.000000000e+01, 1.000000000e+01, 1.479325191e-07,
 6.000000000e+00, 6.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.786440858e-07, 1.000000000e+01, 1.000000000e+01, 1.786440858e-07,
 6.200000000e+00, 6.200000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -2.147616075e-07, 1.000000000e+01, 1.000000000e+01, 2.147616073e-07,
 6.400000000e+00, 6.400000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -2.568158645e-07, 1.000000000e+01, 1.000000000e+01, 2.568158639e-07,
 6.600000000e+00, 6.600000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -3.051753326e-07, 1.000000000e+01, 1.000000000e+01, 3.051753315e-07,
 6.800000000e+00, 6.800000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -3.600510674e-07, 1.000000000e+01, 1.000000000e+01, 3.600510662e-07,
 7.000000000e+00, 7.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -4.215352854e-07, 1.000000000e+01, 1.000000000e+01, 4.215352844e-07,
 7.200000000e+00, 7.200000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -4.896462761e-07, 1.000000000e+01, 1.000000000e+01, 4.896462754e-07,
 7.400000000e+00, 7.400000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -5.643643321e-07, 1.000000000e+01, 1.000000000e+01, 5.643643317e-07,
 7.600000000e+00, 7.600000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -6.456557251e-07, 1.000000000e+01, 1.000000000e+01, 6.456557249e-07,
 7.800000000e+00, 7.800000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -7.334872146e-07, 1.000000000e+01, 1.000000000e+01, 7.334871503e-07,
 8.000000000e+00, 8.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -8.278340602e-07, 1.000000000e+01, 1.000000000e+01, 8.278338668e-07,
 8.200000000e+00, 8.200000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -9.286841203e-07, 1.000000000e+01, 1.000000000e+01, 9.286839615e-07,
 8.400000000e+00, 8.400000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.036040543e-06, 1.000000000e+01, 1.000000000e+01, 1.036040409e-06,
 8.600000000e+00, 8.600000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.149921853e-06, 1.000000000e+01, 1.000000000e+01, 1.149921737e-06,
 8.800000000e+00, 8.800000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.270362167e-06, 1.000000000e+01, 1.000000000e+01, 1.270362065e-06,
 9.000000000e+00, 9.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.397411010e-06, 1.000000000e+01, 1.000000000e+01, 1.397410919e-06,
 9.200000000e+00, 9.200000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.531133205e-06, 1.000000000e+01, 1.000000000e+01, 1.531133124e-06,
 9.400000000e+00, 9.400000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.671608925e-06, 1.000000000e+01, 1.000000000e+01, 1.671608851e-06,
 9.600000000e+00, 9.600000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.818933756e-06, 1.000000000e+01, 1.000000000e+01, 1.818933688e-06,
 9.800000000e+00, 9.800000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.973218533e-06, 1.000000000e+01, 1.000000000e+01, 1.973218469e-06,
 1.000000000e+01, 1.000000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -2.134588778e-06, 1.000000000e+01, 1.000000000e+01, 2.134588719e-06,
 1.020000000e+01, 1.020000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -2.303183962e-06, 1.000000000e+01, 1.000000000e+01, 2.303183906e-06,
