 "gate Voltage (V)", "gate Int. Voltage (V)",  "gate Current (A)", "source Voltage (V)", "source Int. Voltage (V)",  "source Current (A)", "drain Voltage (V)", "drain Int. Voltage (V)",  "drain Current (A)",
 1.000000000e+01, 1.000000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -3.657723348e-09, 2.000000000e-01, 2.000000000e-01, 3.657723309e-09,
 1.000000000e+01, 1.000000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -7.061124540e-09, 4.000000000e-01, 4.000000000e-01, 7.061124540e-09,
 1.000000000e+01, 1.000000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.022604704e-08, 6.000000000e-01, 6.000000000e-01, 1.022604704e-08,
 1.000000000e+01, 1.000000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.316653564e-08, 8.000000000e-01, 8.000000000e-01, 1.316653564e-08,
 1.000000000e+01, 1.000000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.589504953e-08, 1.000000000e+00, 1.000000000e+00, 1.589504953e-08,
 1.000000000e+01, 1.000000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.842265331e-08, 1.200000000e+00, 1.200000000e+00, 1.842265331e-08,
 1.000000000e+01, 1.000000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -2.075918685e-08, 1.400000000e+00, 1.400000000e+00, 2.075918685e-08,
 1.000000000e+01, 1.000000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -2.291341603e-08, 1.600000000e+00, 1.600000000e+00, 2.291341603e-08,
 1.000000000e+01, 1.000000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -2.489316734e-08, 1.800000000e+00, 1.800000000e+00, 2.489316734e-08,
 1.000000000e+01, 1.000000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -2.670545001e-08, 2.000000000e+00, 2.000000000e+00, 2.670545000e-08,
 1.000000000e+01, 1.000000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -2.835657018e-08, 2.200000000e+00, 2.200000000e+00, 2.835657018e-08,
 1.000000000e+01, 1.000000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -2.985224252e-08, 2.400000000e+00, 2.400000000e+00, 2.985224251e-08,
 1.000000000e+01, 1.000000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -3.119770653e-08, 2.600000000e+00, 2.600000000e+00, 3.119770649e-08,
 1.000000000e+01, 1.000000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -3.239785763e-08, 2.800000000e+00, 2.800000000e+00, 3.239785753e-08,
 1.000000000e+01, 1.000000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -3.345740809e-08, 3.000000000e+00, 3.000000000e+00, 3.345740781e-08,
 1.000000000e+01, 1.000000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -3.438110238e-08, 3.200000000e+00, 3.200000000e+00, 3.438110162e-08,
 1.000000000e+01, 1.000000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -3.517403573e-08, 3.400000000e+00, 3.400000000e+00, 3.517403362e-08,
 1.000000000e+01, 1.000000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -3.584218966e-08, 3.600000000e+00, 3.600000000e+00, 3.584218431e-08,
 1.000000000e+01, 1.000000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -3.639342448e-08, 3.800000000e+00, 3.800000000e+00, 3.639341425e-08,
 1.000000000e+01, 1.000000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -3.683903573e-08, 4.000000000e+00, 4.000000000e+00, 3.683902445e-08,
 1.000000000e+01, 1.000000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -3.719462759e-08, 4.200000000e+00, 4.200000000e+00, 3.719462118e-08,
 1.000000000e+01, 1.000000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -3.747813350e-08, 4.400000000e+00, 4.400000000e+00, 3.747813144e-08,
 1.000000000e+01, 1.000000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -3.770635743e-08, 4.600000000e+00, 4.600000000e+00, 3.770635729e-08,
