 "gate Voltage (V)", "gate Int. Voltage (V)",  "gate Current (A)", "source Voltage (V)", "source Int. Voltage (V)",  "source Current (A)", "drain Voltage (V)", "drain Int. Voltage (V)",  "drain Current (A)",
 2.000000000e-01, 2.000000000e-01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.998905025e-15, 1.000000000e+01, 1.000000000e+01, 1.994690871e-15,
 4.000000000e-01, 4.000000000e-01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -2.751642612e-15, 1.000000000e+01, 1.000000000e+01, 2.756700276e-15,
 6.000000000e-01, 6.000000000e-01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -4.437244955e-15, 1.000000000e+01, 1.000000000e+01, 4.440947937e-15,
 8.000000000e-01, 8.000000000e-01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -8.590702393e-15, 1.000000000e+01, 1.000000000e+01, 8.588215844e-15,
 1.000000000e+00, 1.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -2.131231307e-14, 1.000000000e+01, 1.000000000e+01, 2.129924080e-14,
 1.200000000e+00, 1.200000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -5.654387891e-14, 1.000000000e+01, 1.000000000e+01, 5.519236548e-14,
 1.400000000e+00, 1.400000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.292407523e-13, 1.000000000e+01, 1.000000000e+01, 1.292393208e-13,
 1.600000000e+00, 1.600000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -2.562003236e-13, 1.000000000e+01, 1.000000000e+01, 2.561693873e-13,
 1.800000000e+00, 1.800000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -4.630566826e-13, 1.000000000e+01, 1.000000000e+01, 4.630595100e-13,
 2.000000000e+00, 2.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -7.949364638e-13, 1.000000000e+01, 1.000000000e+01, 7.949364861e-13,
 2.200000000e+00, 2.200000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.341202056e-12, 1.000000000e+01, 1.000000000e+01, 1.341201002e-12,
 2.400000000e+00, 2.400000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -2.298228107e-12, 1.000000000e+01, 1.000000000e+01, 2.298146142e-12,
 2.600000000e+00, 2.600000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -4.091855894e-12, 1.000000000e+01, 1.000000000e+01, 4.091634820e-12,
 2.800000000e+00, 2.800000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -7.418533317e-12, 1.000000000e+01, 1.000000000e+01, 7.418533923e-12,
 3.000000000e+00, 3.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.302096404e-11, 1.000000000e+01, 1.000000000e+01, 1.302089030e-11,
 3.200000000e+00, 3.200000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -2.154809298e-11, 1.000000000e+01, 1.000000000e+01, 2.154673451e-11,
 3.400000000e+00, 3.400000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -3.362704544e-11, 1.000000000e+01, 1.000000000e+01, 3.362704485e-11,
 3.600000000e+00, 3.600000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -4.995457018e-11, 1.000000000e+01, 1.000000000e+01, 4.995457144e-11,
 3.800000000e+00, 3.800000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -7.137032593e-11, 1.000000000e+01, 1.000000000e+01, 7.137032642e-11,
 4.000000000e+00, 4.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -9.893499242e-11, 1.000000000e+01, 1.000000000e+01, 9.893496521e-11,
 4.200000000e+00, 4.200000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.340340574e-10, 1.000000000e+01, 1.000000000e+01, 1.340340565e-10,
 4.400000000e+00, 4.400000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.785298883e-10, 1.000000000e+01, 1.000000000e+01, 1.785298362e-10,
 4.600000000e+00, 4.600000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -2.349955003e-10, 1.000000000e+01, 1.000000000e+01, 2.349954957e-10,
 4.800000000e+00, 4.800000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -3.070835973e-10, 1.000000000e+01, 1.000000000e+01, 3.070835971e-10,
 5.000000000e+00, 5.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -4.001114960e-10, 1.000000000e+01, 1.000000000e+01, 4.001114966e-10,
 5.200000000e+00, 5.200000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -5.219530436e-10, 1.000000000e+01, 1.000000000e+01, 5.219530424e-10,
 5.400000000e+00, 5.400000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -6.842228200e-10, 1.000000000e+01, 1.000000000e+01, 6.842228200e-10,
 5.600000000e+00, 5.600000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -9.032777396e-10, 1.000000000e+01, 1.000000000e+01, 9.032777390e-10,
 5.800000000e+00, 5.800000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.199721075e-09, 1.000000000e+01, 1.000000000e+01, 1.199721075e-09,
 6.000000000e+00, 6.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.595275166e-09, 1.000000000e+01, 1.000000000e+01, 1.595275165e-09,
 6.200000000e+00, 6.200000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -2.108599120e-09, 1.000000000e+01, 1.000000000e+01, 2.108599121e-09,
 6.400000000e+00, 6.400000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -2.753215304e-09, 1.000000000e+01, 1.000000000e+01, 2.753215305e-09,
 6.600000000e+00, 6.600000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -3.538074394e-09, 1.000000000e+01, 1.000000000e+01, 3.538074393e-09,
 6.800000000e+00, 6.800000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -4.469092591e-09, 1.000000000e+01, 1.000000000e+01, 4.469092591e-09,
 7.000000000e+00, 7.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -5.550487998e-09, 1.000000000e+01, 1.000000000e+01, 5.550488000e-09,
 7.200000000e+00, 7.200000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -6.785678201e-09, 1.000000000e+01, 1.000000000e+01, 6.785678201e-09,
 7.400000000e+00, 7.400000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -8.177845103e-09, 1.000000000e+01, 1.000000000e+01, 8.177845103e-09,
 7.600000000e+00, 7.600000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -9.730290443e-09, 1.000000000e+01, 1.000000000e+01, 9.730287610e-09,
 7.800000000e+00, 7.800000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.144666249e-08, 1.000000000e+01, 1.000000000e+01, 1.144666163e-08,
