 "gate Voltage (V)", "gate Int. Voltage (V)",  "gate Current (A)", "source Voltage (V)", "source Int. Voltage (V)",  "source Current (A)", "drain Voltage (V)", "drain Int. Voltage (V)",  "drain Current (A)",
 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.431182312e-16, 1.000000000e+01, 1.000000000e+01, 1.434353659e-16,
 -2.000000000e-01, -2.000000000e-01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.123137834e-16, 1.000000000e+01, 1.000000000e+01, 1.134520711e-16,
 -4.000000000e-01, -4.000000000e-01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -9.919352844e-17, 1.000000000e+01, 1.000000000e+01, 9.973804286e-17,
 -6.000000000e-01, -6.000000000e-01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -9.106392253e-17, 1.000000000e+01, 1.000000000e+01, 9.164870139e-17,
 -8.000000000e-01, -8.000000000e-01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -8.561774704e-17, 1.000000000e+01, 1.000000000e+01, 8.529123401e-17,
 -1.000000000e+00, -1.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -8.154283103e-17, 1.000000000e+01, 1.000000000e+01, 8.130528257e-17,
 -1.200000000e+00, -1.200000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -7.842725140e-17, 1.000000000e+01, 1.000000000e+01, 7.911341912e-17,
 -1.400000000e+00, -1.400000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -7.601025958e-17, 1.000000000e+01, 1.000000000e+01, 7.654552517e-17,
 -1.600000000e+00, -1.600000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -7.424042603e-17, 1.000000000e+01, 1.000000000e+01, 7.439571319e-17,
 -1.800000000e+00, -1.800000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -7.242371963e-17, 1.000000000e+01, 1.000000000e+01, 7.257644077e-17,
