 "gate Voltage (V)", "gate Int. Voltage (V)",  "gate Current (A)", "source Voltage (V)", "source Int. Voltage (V)",  "source Current (A)", "drain Voltage (V)", "drain Int. Voltage (V)",  "drain Current (A)",
 1.000000000e+01, 1.000000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.537364402e-08, 2.000000000e-01, 2.000000000e-01, 1.537364401e-08,
 1.000000000e+01, 1.000000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -2.973899799e-08, 4.000000000e-01, 4.000000000e-01, 2.973899799e-08,
 1.000000000e+01, 1.000000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -4.315713832e-08, 6.000000000e-01, 6.000000000e-01, 4.315713832e-08,
 1.000000000e+01, 1.000000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -5.568209327e-08, 8.000000000e-01, 8.000000000e-01, 5.568209326e-08,
 1.000000000e+01, 1.000000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -6.736169960e-08, 1.000000000e+00, 1.000000000e+00, 6.736169960e-08,
 1.000000000e+01, 1.000000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -7.823838037e-08, 1.200000000e+00, 1.200000000e+00, 7.823838037e-08,
 1.000000000e+01, 1.000000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -8.834985181e-08, 1.400000000e+00, 1.400000000e+00, 8.834985180e-08,
 1.000000000e+01, 1.000000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -9.772977490e-08, 1.600000000e+00, 1.600000000e+00, 9.772977488e-08,
 1.000000000e+01, 1.000000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.064083726e-07, 1.800000000e+00, 1.800000000e+00, 1.064083726e-07,
 1.000000000e+01, 1.000000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.144130396e-07, 2.000000000e+00, 2.000000000e+00, 1.144130395e-07,
 1.000000000e+01, 1.000000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.217689769e-07, 2.200000000e+00, 2.200000000e+00, 1.217689767e-07,
 1.000000000e+01, 1.000000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.284998890e-07, 2.400000000e+00, 2.400000000e+00, 1.284998885e-07,
 1.000000000e+01, 1.000000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.346287815e-07, 2.600000000e+00, 2.600000000e+00, 1.346287804e-07,
 1.000000000e+01, 1.000000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.401788906e-07, 2.800000000e+00, 2.800000000e+00, 1.401788883e-07,
 1.000000000e+01, 1.000000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.451747466e-07, 3.000000000e+00, 3.000000000e+00, 1.451747420e-07,
 1.000000000e+01, 1.000000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.496433247e-07, 3.200000000e+00, 3.200000000e+00, 1.496433159e-07,
