 "gate Voltage (V)", "gate Int. Voltage (V)",  "gate Current (A)", "source Voltage (V)", "source Int. Voltage (V)",  "source Current (A)", "drain Voltage (V)", "drain Int. Voltage (V)",  "drain Current (A)",
 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.675387986e-15, 1.000000000e+01, 1.000000000e+01, 1.672760068e-15,
 -2.000000000e-01, -2.000000000e-01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.537276389e-15, 1.000000000e+01, 1.000000000e+01, 1.540872675e-15,
 -4.000000000e-01, -4.000000000e-01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.465472127e-15, 1.000000000e+01, 1.000000000e+01, 1.466931953e-15,
 -6.000000000e-01, -6.000000000e-01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.420549016e-15, 1.000000000e+01, 1.000000000e+01, 1.418113311e-15,
 -8.000000000e-01, -8.000000000e-01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.388160274e-15, 1.000000000e+01, 1.000000000e+01, 1.386405230e-15,
 -1.000000000e+00, -1.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.364150157e-15, 1.000000000e+01, 1.000000000e+01, 1.360846669e-15,
 -1.200000000e+00, -1.200000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.392083252e-15, 1.000000000e+01, 1.000000000e+01, 1.342205044e-15,
 -1.400000000e+00, -1.400000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.328446770e-15, 1.000000000e+01, 1.000000000e+01, 1.323838244e-15,
 -1.600000000e+00, -1.600000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.315235932e-15, 1.000000000e+01, 1.000000000e+01, 1.314901084e-15,
 -1.800000000e+00, -1.800000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.303553971e-15, 1.000000000e+01, 1.000000000e+01, 1.307333112e-15,
 -2.000000000e+00, -2.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.294062207e-15, 1.000000000e+01, 1.000000000e+01, 1.291528632e-15,
 -2.200000000e+00, -2.200000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.372514271e-15, 1.000000000e+01, 1.000000000e+01, 1.286222318e-15,
 -2.400000000e+00, -2.400000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.336046100e-15, 1.000000000e+01, 1.000000000e+01, 1.277483858e-15,
 -2.600000000e+00, -2.600000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.308028022e-15, 1.000000000e+01, 1.000000000e+01, 1.264673258e-15,
 -2.800000000e+00, -2.800000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.273718759e-15, 1.000000000e+01, 1.000000000e+01, 1.265169290e-15,
 -3.000000000e+00, -3.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.259424669e-15, 1.000000000e+01, 1.000000000e+01, 1.261971821e-15,
 -3.200000000e+00, -3.200000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.252701353e-15, 1.000000000e+01, 1.000000000e+01, 1.251318302e-15,
 -3.400000000e+00, -3.400000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.247258004e-15, 1.000000000e+01, 1.000000000e+01, 1.250652616e-15,
 -3.600000000e+00, -3.600000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.242670940e-15, 1.000000000e+01, 1.000000000e+01, 1.244906441e-15,
 -3.800000000e+00, -3.800000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.238602026e-15, 1.000000000e+01, 1.000000000e+01, 1.241061959e-15,
 -4.000000000e+00, -4.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.234153991e-15, 1.000000000e+01, 1.000000000e+01, 1.235042283e-15,
 -4.200000000e+00, -4.200000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.230544251e-15, 1.000000000e+01, 1.000000000e+01, 1.232220882e-15,
 -4.400000000e+00, -4.400000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.226623957e-15, 1.000000000e+01, 1.000000000e+01, 1.221943537e-15,
 -4.600000000e+00, -4.600000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.222972327e-15, 1.000000000e+01, 1.000000000e+01, 1.220892452e-15,
 -4.800000000e+00, -4.800000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.219601501e-15, 1.000000000e+01, 1.000000000e+01, 1.222021000e-15,
 -5.000000000e+00, -5.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.216831153e-15, 1.000000000e+01, 1.000000000e+01, 1.212052380e-15,
 -5.200000000e+00, -5.200000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.214056455e-15, 1.000000000e+01, 1.000000000e+01, 1.217755240e-15,
 -5.400000000e+00, -5.400000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.210235070e-15, 1.000000000e+01, 1.000000000e+01, 1.210272179e-15,
 -5.600000000e+00, -5.600000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.208199792e-15, 1.000000000e+01, 1.000000000e+01, 1.208879748e-15,
 -5.800000000e+00, -5.800000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.205447185e-15, 1.000000000e+01, 1.000000000e+01, 1.209075842e-15,
 -6.000000000e+00, -6.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.203001243e-15, 1.000000000e+01, 1.000000000e+01, 1.203456890e-15,
 -6.200000000e+00, -6.200000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.200474834e-15, 1.000000000e+01, 1.000000000e+01, 1.197417987e-15,
 -6.400000000e+00, -6.400000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.197778850e-15, 1.000000000e+01, 1.000000000e+01, 1.195340732e-15,
 -6.600000000e+00, -6.600000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.195619061e-15, 1.000000000e+01, 1.000000000e+01, 1.199251757e-15,
 -6.800000000e+00, -6.800000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.193290167e-15, 1.000000000e+01, 1.000000000e+01, 1.193003339e-15,
 -7.000000000e+00, -7.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.191567409e-15, 1.000000000e+01, 1.000000000e+01, 1.187515628e-15,
 -7.200000000e+00, -7.200000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.189407564e-15, 1.000000000e+01, 1.000000000e+01, 1.184209230e-15,
 -7.400000000e+00, -7.400000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.187168470e-15, 1.000000000e+01, 1.000000000e+01, 1.186074800e-15,
 -7.600000000e+00, -7.600000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.185267566e-15, 1.000000000e+01, 1.000000000e+01, 1.187328825e-15,
 -7.800000000e+00, -7.800000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.183118659e-15, 1.000000000e+01, 1.000000000e+01, 1.181064963e-15,
 -8.000000000e+00, -8.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.181288208e-15, 1.000000000e+01, 1.000000000e+01, 1.185308313e-15,
 -8.200000000e+00, -8.200000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.179627210e-15, 1.000000000e+01, 1.000000000e+01, 1.179499417e-15,
 -8.400000000e+00, -8.400000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.178026401e-15, 1.000000000e+01, 1.000000000e+01, 1.177857619e-15,
 -8.600000000e+00, -8.600000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.176386443e-15, 1.000000000e+01, 1.000000000e+01, 1.174202038e-15,
 -8.800000000e+00, -8.800000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.174458939e-15, 1.000000000e+01, 1.000000000e+01, 1.172725822e-15,
 -9.000000000e+00, -9.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.172661250e-15, 1.000000000e+01, 1.000000000e+01, 1.174213812e-15,
 -9.200000000e+00, -9.200000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.171669088e-15, 1.000000000e+01, 1.000000000e+01, 1.172495103e-15,
 -9.400000000e+00, -9.400000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.169743520e-15, 1.000000000e+01, 1.000000000e+01, 1.170133243e-15,
 -9.600000000e+00, -9.600000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.168404876e-15, 1.000000000e+01, 1.000000000e+01, 1.169035964e-15,
 -9.800000000e+00, -9.800000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.166828399e-15, 1.000000000e+01, 1.000000000e+01, 1.167533757e-15,
 -1.000000000e+01, -1.000000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.165391682e-15, 1.000000000e+01, 1.000000000e+01, 1.166828857e-15,
 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.675566849e-15, 1.000000000e+01, 1.000000000e+01, 1.667533313e-15,
