 "gate Voltage (V)", "gate Int. Voltage (V)",  "gate Current (A)", "source Voltage (V)", "source Int. Voltage (V)",  "source Current (A)", "drain Voltage (V)", "drain Int. Voltage (V)",  "drain Current (A)",
 2.000000000e-01, 2.000000000e-01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -8.488742558e-15, 1.000000000e+01, 1.000000000e+01, 8.488408363e-15,
 4.000000000e-01, 4.000000000e-01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.181612912e-14, 1.000000000e+01, 1.000000000e+01, 1.181635410e-14,
 6.000000000e-01, 6.000000000e-01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.947543550e-14, 1.000000000e+01, 1.000000000e+01, 1.947519275e-14,
 8.000000000e-01, 8.000000000e-01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -3.925835960e-14, 1.000000000e+01, 1.000000000e+01, -4.947559870e-14,
 1.000000000e+00, 1.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.007431201e-13, 1.000000000e+01, 1.000000000e+01, -1.773398672e-14,
 1.200000000e+00, 1.200000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -2.694716485e-13, 1.000000000e+01, 1.000000000e+01, 2.683254519e-13,
 1.400000000e+00, 1.400000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -6.152138359e-13, 1.000000000e+01, 1.000000000e+01, 6.152140221e-13,
 1.600000000e+00, 1.600000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.215412965e-12, 1.000000000e+01, 1.000000000e+01, 1.215412562e-12,
 1.800000000e+00, 1.800000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -2.188363104e-12, 1.000000000e+01, 1.000000000e+01, 2.188363223e-12,
 2.000000000e+00, 2.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -3.744448160e-12, 1.000000000e+01, 1.000000000e+01, 3.744447933e-12,
