 "gate Voltage (V)", "gate Int. Voltage (V)",  "gate Current (A)", "source Voltage (V)", "source Int. Voltage (V)",  "source Current (A)", "drain Voltage (V)", "drain Int. Voltage (V)",  "drain Current (A)",
 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -3.128324427e-15, 1.000000000e+01, 1.000000000e+01, 3.128254491e-15,
 -2.000000000e-01, -2.000000000e-01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -8.049268989e-16, 1.000000000e+01, 1.000000000e+01, 8.048372413e-16,
 -4.000000000e-01, -4.000000000e-01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -3.841867250e-16, 1.000000000e+01, 1.000000000e+01, 3.192721105e-16,
 -6.000000000e-01, -6.000000000e-01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -3.114539218e-16, 1.000000000e+01, 1.000000000e+01, 3.114210141e-16,
 -8.000000000e-01, -8.000000000e-01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -2.837098725e-16, 1.000000000e+01, 1.000000000e+01, 2.838886037e-16,
 -1.000000000e+00, -1.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -2.682197081e-16, 1.000000000e+01, 1.000000000e+01, 2.680520264e-16,
 -1.200000000e+00, -1.200000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -2.581229545e-16, 1.000000000e+01, 1.000000000e+01, 2.579976369e-16,
 -1.400000000e+00, -1.400000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -2.506855298e-16, 1.000000000e+01, 1.000000000e+01, 2.506400945e-16,
 -1.600000000e+00, -1.600000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -2.450329940e-16, 1.000000000e+01, 1.000000000e+01, 2.450295875e-16,
 -1.800000000e+00, -1.800000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -2.573389453e-16, 1.000000000e+01, 1.000000000e+01, 2.405559678e-16,
 -2.000000000e+00, -2.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -3.436023283e-16, 1.000000000e+01, 1.000000000e+01, 2.366043457e-16,
 -2.200000000e+00, -2.200000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -2.740149524e-16, 1.000000000e+01, 1.000000000e+01, 2.332028151e-16,
 -2.400000000e+00, -2.400000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -2.375917520e-16, 1.000000000e+01, 1.000000000e+01, 2.301476494e-16,
 -2.600000000e+00, -2.600000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -2.330966366e-16, 1.000000000e+01, 1.000000000e+01, 2.275085301e-16,
 -2.800000000e+00, -2.800000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -2.293759593e-16, 1.000000000e+01, 1.000000000e+01, 2.252622495e-16,
 -3.000000000e+00, -3.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -2.231576025e-16, 1.000000000e+01, 1.000000000e+01, 2.230665269e-16,
 -3.200000000e+00, -3.200000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -2.211655483e-16, 1.000000000e+01, 1.000000000e+01, 2.212357948e-16,
 -3.400000000e+00, -3.400000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -2.193270720e-16, 1.000000000e+01, 1.000000000e+01, 2.193171418e-16,
 -3.600000000e+00, -3.600000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -2.477280794e-16, 1.000000000e+01, 1.000000000e+01, 2.174265232e-16,
 -3.800000000e+00, -3.800000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -2.178189014e-16, 1.000000000e+01, 1.000000000e+01, 2.160720821e-16,
 -4.000000000e+00, -4.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -2.146041621e-16, 1.000000000e+01, 1.000000000e+01, 2.144839078e-16,
 -4.200000000e+00, -4.200000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -2.130432829e-16, 1.000000000e+01, 1.000000000e+01, 2.131129723e-16,
 -4.400000000e+00, -4.400000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -2.116602769e-16, 1.000000000e+01, 1.000000000e+01, 2.117529561e-16,
 -4.600000000e+00, -4.600000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -2.103576582e-16, 1.000000000e+01, 1.000000000e+01, 2.105294955e-16,
 -4.800000000e+00, -4.800000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -2.091556297e-16, 1.000000000e+01, 1.000000000e+01, 2.090340650e-16,
 -5.000000000e+00, -5.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -2.079377721e-16, 1.000000000e+01, 1.000000000e+01, 2.079057429e-16,
 -5.200000000e+00, -5.200000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -2.067946770e-16, 1.000000000e+01, 1.000000000e+01, 2.067935100e-16,
 -5.400000000e+00, -5.400000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -2.056905649e-16, 1.000000000e+01, 1.000000000e+01, 2.057424035e-16,
 -5.600000000e+00, -5.600000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -2.046465760e-16, 1.000000000e+01, 1.000000000e+01, 2.046951017e-16,
 -5.800000000e+00, -5.800000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -2.036191014e-16, 1.000000000e+01, 1.000000000e+01, 2.036571046e-16,
 -6.000000000e+00, -6.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -2.026451513e-16, 1.000000000e+01, 1.000000000e+01, 2.027911189e-16,
 -6.200000000e+00, -6.200000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -2.016778074e-16, 1.000000000e+01, 1.000000000e+01, 2.016910394e-16,
 -6.400000000e+00, -6.400000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -2.007458557e-16, 1.000000000e+01, 1.000000000e+01, 2.007050849e-16,
 -6.600000000e+00, -6.600000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.998413925e-16, 1.000000000e+01, 1.000000000e+01, 1.996579815e-16,
 -6.800000000e+00, -6.800000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.989775931e-16, 1.000000000e+01, 1.000000000e+01, 1.989912025e-16,
 -7.000000000e+00, -7.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.980968041e-16, 1.000000000e+01, 1.000000000e+01, 1.980125348e-16,
 -7.200000000e+00, -7.200000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.972761161e-16, 1.000000000e+01, 1.000000000e+01, 1.973728200e-16,
 -7.400000000e+00, -7.400000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.964416841e-16, 1.000000000e+01, 1.000000000e+01, 1.964500892e-16,
 -7.600000000e+00, -7.600000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.956395082e-16, 1.000000000e+01, 1.000000000e+01, 1.954980808e-16,
 -7.800000000e+00, -7.800000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.948553313e-16, 1.000000000e+01, 1.000000000e+01, 1.949025301e-16,
 -8.000000000e+00, -8.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.940953787e-16, 1.000000000e+01, 1.000000000e+01, 1.940778722e-16,
 -8.200000000e+00, -8.200000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.933695915e-16, 1.000000000e+01, 1.000000000e+01, 1.933449828e-16,
 -8.400000000e+00, -8.400000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.926108932e-16, 1.000000000e+01, 1.000000000e+01, 1.926853508e-16,
 -8.600000000e+00, -8.600000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.918782749e-16, 1.000000000e+01, 1.000000000e+01, 1.920081273e-16,
