 "gate Voltage (V)", "gate Int. Voltage (V)",  "gate Current (A)", "source Voltage (V)", "source Int. Voltage (V)",  "source Current (A)", "drain Voltage (V)", "drain Int. Voltage (V)",  "drain Current (A)",
 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -5.436377437e-15, 1.000000000e+01, 1.000000000e+01, 5.435530820e-15,
 -2.000000000e-01, -2.000000000e-01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -5.152493344e-15, 1.000000000e+01, 1.000000000e+01, 5.151670208e-15,
 -4.000000000e-01, -4.000000000e-01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -4.998368571e-15, 1.000000000e+01, 1.000000000e+01, 4.998799866e-15,
 -6.000000000e-01, -6.000000000e-01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -4.898760435e-15, 1.000000000e+01, 1.000000000e+01, 4.894033614e-15,
 -8.000000000e-01, -8.000000000e-01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -4.827034092e-15, 1.000000000e+01, 1.000000000e+01, 4.829572340e-15,
 -1.000000000e+00, -1.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -4.771309616e-15, 1.000000000e+01, 1.000000000e+01, 4.768649151e-15,
 -1.200000000e+00, -1.200000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -4.726874074e-15, 1.000000000e+01, 1.000000000e+01, 4.725093103e-15,
 -1.400000000e+00, -1.400000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -4.690697117e-15, 1.000000000e+01, 1.000000000e+01, 4.694133293e-15,
 -1.600000000e+00, -1.600000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -4.659822808e-15, 1.000000000e+01, 1.000000000e+01, 4.663550229e-15,
 -1.800000000e+00, -1.800000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -4.697657497e-15, 1.000000000e+01, 1.000000000e+01, 4.632113154e-15,
 -2.000000000e+00, -2.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -4.625006164e-15, 1.000000000e+01, 1.000000000e+01, 4.604199430e-15,
