 "gate Voltage (V)", "gate Int. Voltage (V)",  "gate Current (A)", "source Voltage (V)", "source Int. Voltage (V)",  "source Current (A)", "drain Voltage (V)", "drain Int. Voltage (V)",  "drain Current (A)",
 1.000000000e+01, 1.000000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -5.108352683e-09, 2.000000000e-01, 2.000000000e-01, 5.108352651e-09,
 1.000000000e+01, 1.000000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -9.879457773e-09, 4.000000000e-01, 4.000000000e-01, 9.879457773e-09,
 1.000000000e+01, 1.000000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.433369443e-08, 6.000000000e-01, 6.000000000e-01, 1.433369443e-08,
 1.000000000e+01, 1.000000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.848904345e-08, 8.000000000e-01, 8.000000000e-01, 1.848904345e-08,
 1.000000000e+01, 1.000000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -2.236136618e-08, 1.000000000e+00, 1.000000000e+00, 2.236136618e-08,
 1.000000000e+01, 1.000000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -2.596465310e-08, 1.200000000e+00, 1.200000000e+00, 2.596465310e-08,
 1.000000000e+01, 1.000000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -2.931124313e-08, 1.400000000e+00, 1.400000000e+00, 2.931124313e-08,
 1.000000000e+01, 1.000000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -3.241201685e-08, 1.600000000e+00, 1.600000000e+00, 3.241201685e-08,
 1.000000000e+01, 1.000000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -3.527656802e-08, 1.800000000e+00, 1.800000000e+00, 3.527656802e-08,
 1.000000000e+01, 1.000000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -3.791335851e-08, 2.000000000e+00, 2.000000000e+00, 3.791335851e-08,
 1.000000000e+01, 1.000000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -4.032986366e-08, 2.200000000e+00, 2.200000000e+00, 4.032986365e-08,
 1.000000000e+01, 1.000000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -4.253271675e-08, 2.400000000e+00, 2.400000000e+00, 4.253271673e-08,
 1.000000000e+01, 1.000000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -4.452786547e-08, 2.600000000e+00, 2.600000000e+00, 4.452786542e-08,
 1.000000000e+01, 1.000000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -4.632075922e-08, 2.800000000e+00, 2.800000000e+00, 4.632075908e-08,
 1.000000000e+01, 1.000000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -4.791659749e-08, 3.000000000e+00, 3.000000000e+00, 4.791659713e-08,
 1.000000000e+01, 1.000000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -4.932068833e-08, 3.200000000e+00, 3.200000000e+00, 4.932068733e-08,
 1.000000000e+01, 1.000000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -5.053900025e-08, 3.400000000e+00, 3.400000000e+00, 5.053899753e-08,
 1.000000000e+01, 1.000000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -5.157905089e-08, 3.600000000e+00, 3.600000000e+00, 5.157904430e-08,
 1.000000000e+01, 1.000000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -5.245132306e-08, 3.800000000e+00, 3.800000000e+00, 5.245131112e-08,
 1.000000000e+01, 1.000000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -5.317108674e-08, 4.000000000e+00, 4.000000000e+00, 5.317107393e-08,
 1.000000000e+01, 1.000000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -5.375920865e-08, 4.200000000e+00, 4.200000000e+00, 5.375920157e-08,
 1.000000000e+01, 1.000000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -5.423988669e-08, 4.400000000e+00, 4.400000000e+00, 5.423988470e-08,
 1.000000000e+01, 1.000000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -5.463646013e-08, 4.600000000e+00, 4.600000000e+00, 5.463646003e-08,
 1.000000000e+01, 1.000000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -5.496858586e-08, 4.800000000e+00, 4.800000000e+00, 5.496858574e-08,
 1.000000000e+01, 1.000000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -5.525151012e-08, 5.000000000e+00, 5.000000000e+00, 5.525150935e-08,
 1.000000000e+01, 1.000000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -5.549651841e-08, 5.200000000e+00, 5.200000000e+00, 5.549651693e-08,
 1.000000000e+01, 1.000000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -5.571180858e-08, 5.400000000e+00, 5.400000000e+00, 5.571180708e-08,
 1.000000000e+01, 1.000000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -5.590334453e-08, 5.600000000e+00, 5.600000000e+00, 5.590334355e-08,
 1.000000000e+01, 1.000000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -5.607551804e-08, 5.800000000e+00, 5.800000000e+00, 5.607551760e-08,
 1.000000000e+01, 1.000000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -5.623161466e-08, 6.000000000e+00, 6.000000000e+00, 5.623161456e-08,
 1.000000000e+01, 1.000000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -5.637413133e-08, 6.200000000e+00, 6.200000000e+00, 5.637413132e-08,
 1.000000000e+01, 1.000000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -5.650499160e-08, 6.400000000e+00, 6.400000000e+00, 5.650499091e-08,
 1.000000000e+01, 1.000000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -5.662569172e-08, 6.600000000e+00, 6.600000000e+00, 5.662568749e-08,
 1.000000000e+01, 1.000000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -5.673739991e-08, 6.800000000e+00, 6.800000000e+00, 5.673738208e-08,
 1.000000000e+01, 1.000000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -5.684102498e-08, 7.000000000e+00, 7.000000000e+00, 5.684096503e-08,
 1.000000000e+01, 1.000000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -5.693727041e-08, 7.200000000e+00, 7.200000000e+00, 5.693712504e-08,
 1.000000000e+01, 1.000000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -5.702669804e-08, 7.400000000e+00, 7.400000000e+00, 5.702651473e-08,
 1.000000000e+01, 1.000000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -5.710982544e-08, 7.600000000e+00, 7.600000000e+00, 5.710977075e-08,
 1.000000000e+01, 1.000000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -5.718722467e-08, 7.800000000e+00, 7.800000000e+00, 5.718720068e-08,
 1.000000000e+01, 1.000000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -5.725952748e-08, 8.000000000e+00, 8.000000000e+00, 5.725948151e-08,
 1.000000000e+01, 1.000000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -5.732734592e-08, 8.200000000e+00, 8.200000000e+00, 5.732732599e-08,
 1.000000000e+01, 1.000000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -5.739120356e-08, 8.400000000e+00, 8.400000000e+00, 5.739119287e-08,
 1.000000000e+01, 1.000000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -5.745150493e-08, 8.600000000e+00, 8.600000000e+00, 5.745148398e-08,
 1.000000000e+01, 1.000000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -5.750855120e-08, 8.800000000e+00, 8.800000000e+00, 5.750853738e-08,
 1.000000000e+01, 1.000000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -5.756257366e-08, 9.000000000e+00, 9.000000000e+00, 5.756256876e-08,
 1.000000000e+01, 1.000000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -5.761375915e-08, 9.200000000e+00, 9.200000000e+00, 5.761375693e-08,
 1.000000000e+01, 1.000000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -5.766226675e-08, 9.400000000e+00, 9.400000000e+00, 5.766222606e-08,
 1.000000000e+01, 1.000000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -5.770823854e-08, 9.600000000e+00, 9.600000000e+00, 5.770789714e-08,
 1.000000000e+01, 1.000000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -5.775180957e-08, 9.800000000e+00, 9.800000000e+00, 5.775180957e-08,
 1.000000000e+01, 1.000000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -5.779312640e-08, 1.000000000e+01, 1.000000000e+01, 5.779296583e-08,
 1.000000000e+01, 1.000000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -5.783236282e-08, 1.020000000e+01, 1.020000000e+01, 5.783209554e-08,
 1.000000000e+01, 1.000000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -5.786970236e-08, 1.040000000e+01, 1.040000000e+01, 5.786945412e-08,
 1.000000000e+01, 1.000000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -5.790531586e-08, 1.060000000e+01, 1.060000000e+01, 5.790526729e-08,
 1.000000000e+01, 1.000000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -5.793935845e-08, 1.080000000e+01, 1.080000000e+01, 5.793934676e-08,
 1.000000000e+01, 1.000000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -5.797197198e-08, 1.100000000e+01, 1.100000000e+01, 5.797196707e-08,
 1.000000000e+01, 1.000000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -5.800328610e-08, 1.120000000e+01, 1.120000000e+01, 5.800328357e-08,
 1.000000000e+01, 1.000000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -5.803341856e-08, 1.140000000e+01, 1.140000000e+01, 5.803341722e-08,
 1.000000000e+01, 1.000000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -5.806247528e-08, 1.160000000e+01, 1.160000000e+01, 5.806247453e-08,
 1.000000000e+01, 1.000000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -5.809055051e-08, 1.180000000e+01, 1.180000000e+01, 5.809055005e-08,
 1.000000000e+01, 1.000000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -5.811772712e-08, 1.200000000e+01, 1.200000000e+01, 5.811772682e-08,
 1.000000000e+01, 1.000000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -5.814407723e-08, 1.220000000e+01, 1.220000000e+01, 5.814407702e-08,
