 "gate Voltage (V)", "gate Int. Voltage (V)",  "gate Current (A)", "source Voltage (V)", "source Int. Voltage (V)",  "source Current (A)", "drain Voltage (V)", "drain Int. Voltage (V)",  "drain Current (A)",
 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -2.243123252e-15, 1.000000000e+01, 1.000000000e+01, 2.242886401e-15,
 -2.000000000e-01, -2.000000000e-01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -2.056947982e-15, 1.000000000e+01, 1.000000000e+01, 2.055424339e-15,
 -4.000000000e-01, -4.000000000e-01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.960289029e-15, 1.000000000e+01, 1.000000000e+01, 1.959681847e-15,
 -6.000000000e-01, -6.000000000e-01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.899099091e-15, 1.000000000e+01, 1.000000000e+01, 1.899645642e-15,
 -8.000000000e-01, -8.000000000e-01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.855844041e-15, 1.000000000e+01, 1.000000000e+01, 1.855277716e-15,
 -1.000000000e+00, -1.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.825614808e-15, 1.000000000e+01, 1.000000000e+01, 1.821314413e-15,
 -1.200000000e+00, -1.200000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.861764566e-15, 1.000000000e+01, 1.000000000e+01, 1.792400267e-15,
 -1.400000000e+00, -1.400000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.775407756e-15, 1.000000000e+01, 1.000000000e+01, 1.777856010e-15,
 -1.600000000e+00, -1.600000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.759304604e-15, 1.000000000e+01, 1.000000000e+01, 1.759403579e-15,
 -1.800000000e+00, -1.800000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.742265069e-15, 1.000000000e+01, 1.000000000e+01, 1.744355646e-15,
 -2.000000000e+00, -2.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.729129571e-15, 1.000000000e+01, 1.000000000e+01, 1.726620372e-15,
 -2.200000000e+00, -2.200000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.769887654e-15, 1.000000000e+01, 1.000000000e+01, 1.717102550e-15,
 -2.400000000e+00, -2.400000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.744075025e-15, 1.000000000e+01, 1.000000000e+01, 1.708413301e-15,
 -2.600000000e+00, -2.600000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.719999815e-15, 1.000000000e+01, 1.000000000e+01, 1.698367282e-15,
 -2.800000000e+00, -2.800000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.695012575e-15, 1.000000000e+01, 1.000000000e+01, 1.689841558e-15,
 -3.000000000e+00, -3.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.681763902e-15, 1.000000000e+01, 1.000000000e+01, 1.682914327e-15,
 -3.200000000e+00, -3.200000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.673687535e-15, 1.000000000e+01, 1.000000000e+01, 1.676602975e-15,
 -3.400000000e+00, -3.400000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.666941060e-15, 1.000000000e+01, 1.000000000e+01, 1.668217560e-15,
 -3.600000000e+00, -3.600000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.660835304e-15, 1.000000000e+01, 1.000000000e+01, 1.660196880e-15,
 -3.800000000e+00, -3.800000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.654706223e-15, 1.000000000e+01, 1.000000000e+01, 1.651920236e-15,
 -4.000000000e+00, -4.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.649188259e-15, 1.000000000e+01, 1.000000000e+01, 1.649882474e-15,
 -4.200000000e+00, -4.200000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.643959679e-15, 1.000000000e+01, 1.000000000e+01, 1.644938555e-15,
 -4.400000000e+00, -4.400000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.639154259e-15, 1.000000000e+01, 1.000000000e+01, 1.638973783e-15,
 -4.600000000e+00, -4.600000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.634278622e-15, 1.000000000e+01, 1.000000000e+01, 1.633367086e-15,
 -4.800000000e+00, -4.800000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.629931610e-15, 1.000000000e+01, 1.000000000e+01, 1.633899721e-15,
 -5.000000000e+00, -5.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.625936380e-15, 1.000000000e+01, 1.000000000e+01, 1.626261012e-15,
 -5.200000000e+00, -5.200000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.621479672e-15, 1.000000000e+01, 1.000000000e+01, 1.623387195e-15,
 -5.400000000e+00, -5.400000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.617606057e-15, 1.000000000e+01, 1.000000000e+01, 1.620467574e-15,
 -5.600000000e+00, -5.600000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.613859382e-15, 1.000000000e+01, 1.000000000e+01, 1.610406143e-15,
 -5.800000000e+00, -5.800000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.610488801e-15, 1.000000000e+01, 1.000000000e+01, 1.608752984e-15,
 -6.000000000e+00, -6.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.607097418e-15, 1.000000000e+01, 1.000000000e+01, 1.603513492e-15,
 -6.200000000e+00, -6.200000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.603944041e-15, 1.000000000e+01, 1.000000000e+01, 1.603808845e-15,
 -6.400000000e+00, -6.400000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.600681242e-15, 1.000000000e+01, 1.000000000e+01, 1.602712381e-15,
 -6.600000000e+00, -6.600000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.597458354e-15, 1.000000000e+01, 1.000000000e+01, 1.596010252e-15,
 -6.800000000e+00, -6.800000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.594613454e-15, 1.000000000e+01, 1.000000000e+01, 1.595228555e-15,
 -7.000000000e+00, -7.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.591540578e-15, 1.000000000e+01, 1.000000000e+01, 1.589148119e-15,
 -7.200000000e+00, -7.200000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.588816200e-15, 1.000000000e+01, 1.000000000e+01, 1.590567055e-15,
 -7.400000000e+00, -7.400000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.586182080e-15, 1.000000000e+01, 1.000000000e+01, 1.587978113e-15,
 -7.600000000e+00, -7.600000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.583489253e-15, 1.000000000e+01, 1.000000000e+01, 1.587233665e-15,
 -7.800000000e+00, -7.800000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.581006085e-15, 1.000000000e+01, 1.000000000e+01, 1.581248406e-15,
 -8.000000000e+00, -8.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.578583578e-15, 1.000000000e+01, 1.000000000e+01, 1.578905494e-15,
 -8.200000000e+00, -8.200000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.576062783e-15, 1.000000000e+01, 1.000000000e+01, 1.576408764e-15,
 -8.400000000e+00, -8.400000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.573652402e-15, 1.000000000e+01, 1.000000000e+01, 1.576619725e-15,
