 "gate Voltage (V)", "gate Int. Voltage (V)",  "gate Current (A)", "source Voltage (V)", "source Int. Voltage (V)",  "source Current (A)", "drain Voltage (V)", "drain Int. Voltage (V)",  "drain Current (A)",
 1.000000000e+01, 1.000000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -7.508179641e-10, 2.000000000e-01, 2.000000000e-01, 7.508179245e-10,
 1.000000000e+01, 1.000000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.410580677e-09, 4.000000000e-01, 4.000000000e-01, 1.410580677e-09,
 1.000000000e+01, 1.000000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.982597106e-09, 6.000000000e-01, 6.000000000e-01, 1.982597106e-09,
 1.000000000e+01, 1.000000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -2.471301426e-09, 8.000000000e-01, 8.000000000e-01, 2.471301426e-09,
 1.000000000e+01, 1.000000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -2.882575975e-09, 1.000000000e+00, 1.000000000e+00, 2.882575975e-09,
 1.000000000e+01, 1.000000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -3.223916356e-09, 1.200000000e+00, 1.200000000e+00, 3.223916357e-09,
 1.000000000e+01, 1.000000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -3.504232207e-09, 1.400000000e+00, 1.400000000e+00, 3.504232207e-09,
 1.000000000e+01, 1.000000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -3.733181243e-09, 1.600000000e+00, 1.600000000e+00, 3.733181243e-09,
 1.000000000e+01, 1.000000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -3.920223364e-09, 1.800000000e+00, 1.800000000e+00, 3.920223364e-09,
 1.000000000e+01, 1.000000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -4.073793852e-09, 2.000000000e+00, 2.000000000e+00, 4.073793850e-09,
 1.000000000e+01, 1.000000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -4.200877407e-09, 2.200000000e+00, 2.200000000e+00, 4.200877407e-09,
 1.000000000e+01, 1.000000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -4.306975994e-09, 2.400000000e+00, 2.400000000e+00, 4.306975994e-09,
