 "gate Voltage (V)", "gate Int. Voltage (V)",  "gate Current (A)", "source Voltage (V)", "source Int. Voltage (V)",  "source Current (A)", "drain Voltage (V)", "drain Int. Voltage (V)",  "drain Current (A)",
 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -3.230890255e-15, 1.000000000e+01, 1.000000000e+01, 3.227686779e-15,
 -2.000000000e-01, -2.000000000e-01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.745732988e-15, 1.000000000e+01, 1.000000000e+01, 1.741563972e-15,
 -4.000000000e-01, -4.000000000e-01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.404978810e-15, 1.000000000e+01, 1.000000000e+01, 1.406055112e-15,
 -6.000000000e-01, -6.000000000e-01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.317831623e-15, 1.000000000e+01, 1.000000000e+01, 1.320036393e-15,
 -8.000000000e-01, -8.000000000e-01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.278982242e-15, 1.000000000e+01, 1.000000000e+01, 1.277523688e-15,
 -1.000000000e+00, -1.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.255285958e-15, 1.000000000e+01, 1.000000000e+01, 1.249900154e-15,
 -1.200000000e+00, -1.200000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.239293850e-15, 1.000000000e+01, 1.000000000e+01, 1.237579056e-15,
 -1.400000000e+00, -1.400000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.230111057e-15, 1.000000000e+01, 1.000000000e+01, 1.223756455e-15,
 -1.600000000e+00, -1.600000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.217647662e-15, 1.000000000e+01, 1.000000000e+01, 1.212456344e-15,
 -1.800000000e+00, -1.800000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.208505314e-15, 1.000000000e+01, 1.000000000e+01, 1.210276382e-15,
 -2.000000000e+00, -2.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.201881522e-15, 1.000000000e+01, 1.000000000e+01, 1.206205489e-15,
 -2.200000000e+00, -2.200000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.195914866e-15, 1.000000000e+01, 1.000000000e+01, 1.192288664e-15,
 -2.400000000e+00, -2.400000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.225490619e-15, 1.000000000e+01, 1.000000000e+01, 1.185680022e-15,
 -2.600000000e+00, -2.600000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.187101894e-15, 1.000000000e+01, 1.000000000e+01, 1.185871281e-15,
 -2.800000000e+00, -2.800000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.180635631e-15, 1.000000000e+01, 1.000000000e+01, 1.181009609e-15,
 -3.000000000e+00, -3.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.176470217e-15, 1.000000000e+01, 1.000000000e+01, 1.181930022e-15,
 -3.200000000e+00, -3.200000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.172849678e-15, 1.000000000e+01, 1.000000000e+01, 1.172023556e-15,
 -3.400000000e+00, -3.400000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.169305535e-15, 1.000000000e+01, 1.000000000e+01, 1.171508029e-15,
 -3.600000000e+00, -3.600000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.165972781e-15, 1.000000000e+01, 1.000000000e+01, 1.163090582e-15,
 -3.800000000e+00, -3.800000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.162110256e-15, 1.000000000e+01, 1.000000000e+01, 1.156854768e-15,
 -4.000000000e+00, -4.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.159290954e-15, 1.000000000e+01, 1.000000000e+01, 1.155491570e-15,
 -4.200000000e+00, -4.200000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.156443923e-15, 1.000000000e+01, 1.000000000e+01, 1.158343586e-15,
 -4.400000000e+00, -4.400000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.153372117e-15, 1.000000000e+01, 1.000000000e+01, 1.151080628e-15,
 -4.600000000e+00, -4.600000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.151159955e-15, 1.000000000e+01, 1.000000000e+01, 1.149640189e-15,
 -4.800000000e+00, -4.800000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.148228498e-15, 1.000000000e+01, 1.000000000e+01, 1.153832500e-15,
 -5.000000000e+00, -5.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.145910068e-15, 1.000000000e+01, 1.000000000e+01, 1.143544646e-15,
 -5.200000000e+00, -5.200000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.143579260e-15, 1.000000000e+01, 1.000000000e+01, 1.141739833e-15,
 -5.400000000e+00, -5.400000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.141176932e-15, 1.000000000e+01, 1.000000000e+01, 1.145873597e-15,
 -5.600000000e+00, -5.600000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.138941938e-15, 1.000000000e+01, 1.000000000e+01, 1.136985965e-15,
 -5.800000000e+00, -5.800000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.136924252e-15, 1.000000000e+01, 1.000000000e+01, 1.134731415e-15,
 -6.000000000e+00, -6.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.134587519e-15, 1.000000000e+01, 1.000000000e+01, 1.136257638e-15,
 -6.200000000e+00, -6.200000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.133203836e-15, 1.000000000e+01, 1.000000000e+01, 1.130385335e-15,
 -6.400000000e+00, -6.400000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.130925113e-15, 1.000000000e+01, 1.000000000e+01, 1.127160243e-15,
