 "gate Voltage (V)", "gate Int. Voltage (V)",  "gate Current (A)", "source Voltage (V)", "source Int. Voltage (V)",  "source Current (A)", "drain Voltage (V)", "drain Int. Voltage (V)",  "drain Current (A)",
 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.872554428e-15, 1.000000000e+01, 1.000000000e+01, 1.874383141e-15,
 -2.000000000e-01, -2.000000000e-01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.543949312e-15, 1.000000000e+01, 1.000000000e+01, 1.544140163e-15,
 -4.000000000e-01, -4.000000000e-01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.428761738e-15, 1.000000000e+01, 1.000000000e+01, 1.427418856e-15,
 -6.000000000e-01, -6.000000000e-01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.373148981e-15, 1.000000000e+01, 1.000000000e+01, 1.376465319e-15,
 -8.000000000e-01, -8.000000000e-01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.339027719e-15, 1.000000000e+01, 1.000000000e+01, 1.336962662e-15,
 -1.000000000e+00, -1.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.314837138e-15, 1.000000000e+01, 1.000000000e+01, 1.316858361e-15,
 -1.200000000e+00, -1.200000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.296605125e-15, 1.000000000e+01, 1.000000000e+01, 1.293861851e-15,
 -1.400000000e+00, -1.400000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.312338543e-15, 1.000000000e+01, 1.000000000e+01, 1.280907278e-15,
 -1.600000000e+00, -1.600000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.270321114e-15, 1.000000000e+01, 1.000000000e+01, 1.268943176e-15,
 -1.800000000e+00, -1.800000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.260370157e-15, 1.000000000e+01, 1.000000000e+01, 1.259288342e-15,
 -2.000000000e+00, -2.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.252033661e-15, 1.000000000e+01, 1.000000000e+01, 1.247619820e-15,
 -2.200000000e+00, -2.200000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.244340562e-15, 1.000000000e+01, 1.000000000e+01, 1.244056229e-15,
 -2.400000000e+00, -2.400000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.237335332e-15, 1.000000000e+01, 1.000000000e+01, 1.241613175e-15,
 -2.600000000e+00, -2.600000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.263072372e-15, 1.000000000e+01, 1.000000000e+01, 1.234027013e-15,
 -2.800000000e+00, -2.800000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.228143795e-15, 1.000000000e+01, 1.000000000e+01, 1.229585112e-15,
 -3.000000000e+00, -3.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.221177270e-15, 1.000000000e+01, 1.000000000e+01, 1.219416429e-15,
 -3.200000000e+00, -3.200000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.216417192e-15, 1.000000000e+01, 1.000000000e+01, 1.219096146e-15,
 -3.400000000e+00, -3.400000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.212168153e-15, 1.000000000e+01, 1.000000000e+01, 1.216178910e-15,
 -3.600000000e+00, -3.600000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.208211061e-15, 1.000000000e+01, 1.000000000e+01, 1.208922202e-15,
 -3.800000000e+00, -3.800000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.204065681e-15, 1.000000000e+01, 1.000000000e+01, 1.201456829e-15,
 -4.000000000e+00, -4.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.200859666e-15, 1.000000000e+01, 1.000000000e+01, 1.200438065e-15,
 -4.200000000e+00, -4.200000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.197523342e-15, 1.000000000e+01, 1.000000000e+01, 1.200031030e-15,
