 "gate Voltage (V)", "gate Int. Voltage (V)",  "gate Current (A)", "source Voltage (V)", "source Int. Voltage (V)",  "source Current (A)", "drain Voltage (V)", "drain Int. Voltage (V)",  "drain Current (A)",
 2.000000000e-01, 2.000000000e-01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -2.826429333e-15, 1.000000000e+01, 1.000000000e+01, 2.828663139e-15,
 4.000000000e-01, 4.000000000e-01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -5.623021927e-15, 1.000000000e+01, 1.000000000e+01, 5.250501066e-15,
 6.000000000e-01, 6.000000000e-01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.644127457e-14, 1.000000000e+01, 1.000000000e+01, 1.644266545e-14,
 7.000000000e-01, 7.000000000e-01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -3.079785966e-14, 1.000000000e+01, 1.000000000e+01, 3.079277365e-14,
 8.000000000e-01, 8.000000000e-01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -5.537592139e-14, 1.000000000e+01, 1.000000000e+01, 5.537616069e-14,
 1.000000000e+00, 1.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.480127144e-13, 1.000000000e+01, 1.000000000e+01, 1.479884083e-13,
 1.200000000e+00, 1.200000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -3.286099039e-13, 1.000000000e+01, 1.000000000e+01, 3.286080076e-13,
 1.400000000e+00, 1.400000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -6.644554387e-13, 1.000000000e+01, 1.000000000e+01, 6.644559252e-13,
 1.600000000e+00, 1.600000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.318103330e-12, 1.000000000e+01, 1.000000000e+01, 1.318100623e-12,
 1.800000000e+00, 1.800000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -2.738721239e-12, 1.000000000e+01, 1.000000000e+01, 2.738594615e-12,
 2.000000000e+00, 2.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -5.925611314e-12, 1.000000000e+01, 1.000000000e+01, 5.925605085e-12,
 2.200000000e+00, 2.200000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.212600816e-11, 1.000000000e+01, 1.000000000e+01, 1.212600836e-11,
 2.400000000e+00, 2.400000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -2.245516364e-11, 1.000000000e+01, 1.000000000e+01, 2.245516232e-11,
 2.600000000e+00, 2.600000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -3.806746738e-11, 1.000000000e+01, 1.000000000e+01, 3.398167781e-11,
 2.800000000e+00, 2.800000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -6.039502356e-11, 1.000000000e+01, 1.000000000e+01, 6.039392467e-11,
 3.000000000e+00, 3.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -9.138438641e-11, 1.000000000e+01, 1.000000000e+01, 9.138439623e-11,
 3.200000000e+00, 3.200000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.338384969e-10, 1.000000000e+01, 1.000000000e+01, 1.338384979e-10,
 3.400000000e+00, 3.400000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.919980987e-10, 1.000000000e+01, 1.000000000e+01, 1.919980987e-10,
 3.600000000e+00, 3.600000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -2.725904796e-10, 1.000000000e+01, 1.000000000e+01, 2.725904464e-10,
 3.800000000e+00, 3.800000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -3.867221517e-10, 1.000000000e+01, 1.000000000e+01, 3.867221516e-10,
 4.000000000e+00, 4.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -5.529046660e-10, 1.000000000e+01, 1.000000000e+01, 5.529046652e-10,
 4.200000000e+00, 4.200000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -7.999011743e-10, 1.000000000e+01, 1.000000000e+01, 7.999011742e-10,
 4.400000000e+00, 4.400000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.164253947e-09, 1.000000000e+01, 1.000000000e+01, 1.164253947e-09,
 4.600000000e+00, 4.600000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.680031709e-09, 1.000000000e+01, 1.000000000e+01, 1.680031709e-09,
 4.800000000e+00, 4.800000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -2.370856152e-09, 1.000000000e+01, 1.000000000e+01, 2.370856151e-09,
 5.000000000e+00, 5.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -3.250767889e-09, 1.000000000e+01, 1.000000000e+01, 3.250767889e-09,
 5.200000000e+00, 5.200000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -4.328415422e-09, 1.000000000e+01, 1.000000000e+01, 4.328415422e-09,
 5.400000000e+00, 5.400000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -5.610196073e-09, 1.000000000e+01, 1.000000000e+01, 5.610196073e-09,
 5.600000000e+00, 5.600000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -7.102004181e-09, 1.000000000e+01, 1.000000000e+01, 7.102004181e-09,
 5.800000000e+00, 5.800000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -8.810188605e-09, 1.000000000e+01, 1.000000000e+01, 8.810188605e-09,
 6.000000000e+00, 6.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.074213502e-08, 1.000000000e+01, 1.000000000e+01, 1.074212821e-08,
 6.200000000e+00, 6.200000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.290667392e-08, 1.000000000e+01, 1.000000000e+01, 1.290667145e-08,
 6.400000000e+00, 6.400000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.531441173e-08, 1.000000000e+01, 1.000000000e+01, 1.531441094e-08,
 6.600000000e+00, 6.600000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.797804434e-08, 1.000000000e+01, 1.000000000e+01, 1.797804414e-08,
 6.800000000e+00, 6.800000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -2.091269445e-08, 1.000000000e+01, 1.000000000e+01, 2.091269441e-08,
 7.000000000e+00, 7.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -2.413630325e-08, 1.000000000e+01, 1.000000000e+01, 2.413630323e-08,
 7.200000000e+00, 7.200000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -2.767009821e-08, 1.000000000e+01, 1.000000000e+01, 2.767009819e-08,
 7.400000000e+00, 7.400000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -3.153915088e-08, 1.000000000e+01, 1.000000000e+01, 3.153915086e-08,
 7.600000000e+00, 7.600000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -3.577302842e-08, 1.000000000e+01, 1.000000000e+01, 3.577302839e-08,
 7.800000000e+00, 7.800000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -4.040652485e-08, 1.000000000e+01, 1.000000000e+01, 4.040652487e-08,
 8.000000000e+00, 8.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -4.548042440e-08, 1.000000000e+01, 1.000000000e+01, 4.548042499e-08,
 8.200000000e+00, 8.200000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -5.104219135e-08, 1.000000000e+01, 1.000000000e+01, 5.104219323e-08,
 8.400000000e+00, 8.400000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -5.714639039e-08, 1.000000000e+01, 1.000000000e+01, 5.714639326e-08,
 8.600000000e+00, 8.600000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -6.385453083e-08, 1.000000000e+01, 1.000000000e+01, 6.385453342e-08,
 8.800000000e+00, 8.800000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -7.123394809e-08, 1.000000000e+01, 1.000000000e+01, 7.123394951e-08,
 9.000000000e+00, 9.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -7.935539874e-08, 1.000000000e+01, 1.000000000e+01, 7.935539778e-08,
 9.200000000e+00, 9.200000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -8.828936923e-08, 1.000000000e+01, 1.000000000e+01, 8.828936299e-08,
 9.400000000e+00, 9.400000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -9.810166409e-08, 1.000000000e+01, 1.000000000e+01, 9.810164592e-08,
 9.600000000e+00, 9.600000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.088493413e-07, 1.000000000e+01, 1.000000000e+01, 1.088492255e-07,
 9.800000000e+00, 9.800000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.205780782e-07, 1.000000000e+01, 1.000000000e+01, 1.205774199e-07,
 1.000000000e+01, 1.000000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.333215017e-07, 1.000000000e+01, 1.000000000e+01, 1.333215017e-07,
 1.020000000e+01, 1.020000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.471022664e-07, 1.000000000e+01, 1.000000000e+01, 1.471022661e-07,
 1.040000000e+01, 1.040000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.619340768e-07, 1.000000000e+01, 1.000000000e+01, 1.619340767e-07,
 1.060000000e+01, 1.060000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.778238936e-07, 1.000000000e+01, 1.000000000e+01, 1.778236731e-07,
 1.080000000e+01, 1.080000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.947739112e-07, 1.000000000e+01, 1.000000000e+01, 1.947739070e-07,
 1.100000000e+01, 1.100000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -2.127831270e-07, 1.000000000e+01, 1.000000000e+01, 2.127830996e-07,
 1.120000000e+01, 1.120000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -2.318485533e-07, 1.000000000e+01, 1.000000000e+01, 2.318485337e-07,
 1.140000000e+01, 1.140000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -2.519661957e-07, 1.000000000e+01, 1.000000000e+01, 2.519661876e-07,
 1.160000000e+01, 1.160000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -2.731318989e-07, 1.000000000e+01, 1.000000000e+01, 2.731315989e-07,
 1.180000000e+01, 1.180000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -2.953420384e-07, 1.000000000e+01, 1.000000000e+01, 2.953420384e-07,
 1.200000000e+01, 1.200000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -3.185938377e-07, 1.000000000e+01, 1.000000000e+01, 3.185936509e-07,
 1.220000000e+01, 1.220000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -3.428852878e-07, 1.000000000e+01, 1.000000000e+01, 3.428852411e-07,
 1.240000000e+01, 1.240000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -3.682148004e-07, 1.000000000e+01, 1.000000000e+01, 3.682147875e-07,
 1.260000000e+01, 1.260000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -3.945806279e-07, 1.000000000e+01, 1.000000000e+01, 3.945806237e-07,
 1.280000000e+01, 1.280000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -4.219803720e-07, 1.000000000e+01, 1.000000000e+01, 4.219803700e-07,
 1.300000000e+01, 1.300000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -4.504108857e-07, 1.000000000e+01, 1.000000000e+01, 4.504108843e-07,
 1.320000000e+01, 1.320000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -4.798687480e-07, 1.000000000e+01, 1.000000000e+01, 4.798687467e-07,
 1.340000000e+01, 1.340000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -5.103511473e-07, 1.000000000e+01, 1.000000000e+01, 5.103511459e-07,
 1.360000000e+01, 1.360000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -5.418567220e-07, 1.000000000e+01, 1.000000000e+01, 5.418567201e-07,
 1.380000000e+01, 1.380000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -5.743859077e-07, 1.000000000e+01, 1.000000000e+01, 5.743859063e-07,
 1.400000000e+01, 1.400000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -6.079407463e-07, 1.000000000e+01, 1.000000000e+01, 6.079407428e-07,
 1.420000000e+01, 1.420000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -6.425248119e-07, 1.000000000e+01, 1.000000000e+01, 6.425247752e-07,
 1.440000000e+01, 1.440000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -6.781438807e-07, 1.000000000e+01, 1.000000000e+01, 6.781437686e-07,
 1.460000000e+01, 1.460000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -7.148065899e-07, 1.000000000e+01, 1.000000000e+01, 7.148064664e-07,
 1.480000000e+01, 1.480000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -7.525242021e-07, 1.000000000e+01, 1.000000000e+01, 7.525241334e-07,
 1.500000000e+01, 1.500000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -7.913099094e-07, 1.000000000e+01, 1.000000000e+01, 7.913098821e-07,
 1.520000000e+01, 1.520000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -8.311782552e-07, 1.000000000e+01, 1.000000000e+01, 8.311782452e-07,
 1.540000000e+01, 1.540000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -8.721447607e-07, 1.000000000e+01, 1.000000000e+01, 8.721447566e-07,
 1.560000000e+01, 1.560000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -9.142256633e-07, 1.000000000e+01, 1.000000000e+01, 9.142256611e-07,
 1.580000000e+01, 1.580000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -9.574376966e-07, 1.000000000e+01, 1.000000000e+01, 9.574376950e-07,
 1.600000000e+01, 1.600000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.001797873e-06, 1.000000000e+01, 1.000000000e+01, 1.001797872e-06,
