 "gate Voltage (V)", "gate Int. Voltage (V)",  "gate Current (A)", "source Voltage (V)", "source Int. Voltage (V)",  "source Current (A)", "drain Voltage (V)", "drain Int. Voltage (V)",  "drain Current (A)",
 1.100000000e+01, 1.100000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, 4.578887267e-17, 0.000000000e+00, 0.000000000e+00, -3.561335091e-17,
 1.100000000e+01, 1.100000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.205120543e-05, 5.000000000e-01, 5.000000000e-01, 1.205120543e-05,
 1.100000000e+01, 1.100000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -2.343666079e-05, 1.000000000e+00, 1.000000000e+00, 2.343666079e-05,
 1.100000000e+01, 1.100000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -3.416310196e-05, 1.500000000e+00, 1.500000000e+00, 3.416310196e-05,
 1.100000000e+01, 1.100000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -4.423789154e-05, 2.000000000e+00, 2.000000000e+00, 4.423789154e-05,
 1.100000000e+01, 1.100000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -5.366909563e-05, 2.500000000e+00, 2.500000000e+00, 5.366909563e-05,
 1.100000000e+01, 1.100000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -6.246556758e-05, 3.000000000e+00, 3.000000000e+00, 6.246556758e-05,
 1.100000000e+01, 1.100000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -7.063703680e-05, 3.500000000e+00, 3.500000000e+00, 7.063703680e-05,
 1.100000000e+01, 1.100000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -7.819419894e-05, 4.000000000e+00, 4.000000000e+00, 7.819419893e-05,
 1.100000000e+01, 1.100000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -8.514880163e-05, 4.500000000e+00, 4.500000000e+00, 8.514880162e-05,
 1.100000000e+01, 1.100000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -9.151371771e-05, 5.000000000e+00, 5.000000000e+00, 9.151371769e-05,
 1.100000000e+01, 1.100000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -9.730299538e-05, 5.500000000e+00, 5.500000000e+00, 9.730299535e-05,
 1.100000000e+01, 1.100000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.025318743e-04, 6.000000000e+00, 6.000000000e+00, 1.025318743e-04,
 1.100000000e+01, 1.100000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.072167599e-04, 6.500000000e+00, 6.500000000e+00, 1.072167597e-04,
 1.100000000e+01, 1.100000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.113751573e-04, 7.000000000e+00, 7.000000000e+00, 1.113751568e-04,
 1.100000000e+01, 1.100000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.150255889e-04, 7.500000000e+00, 7.500000000e+00, 1.150255876e-04,
 1.100000000e+01, 1.100000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.181875539e-04, 8.000000000e+00, 8.000000000e+00, 1.181875497e-04,
 1.100000000e+01, 1.100000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.208816353e-04, 8.500000000e+00, 8.500000000e+00, 1.208816219e-04,
 1.100000000e+01, 1.100000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.231299323e-04, 9.000000000e+00, 9.000000000e+00, 1.231299323e-04,
 1.100000000e+01, 1.100000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.249570857e-04, 9.500000000e+00, 9.500000000e+00, 1.249570857e-04,
 1.100000000e+01, 1.100000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.263923305e-04, 1.000000000e+01, 1.000000000e+01, 1.263923305e-04,
 1.100000000e+01, 1.100000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.274730124e-04, 1.050000000e+01, 1.050000000e+01, 1.274730124e-04,
 1.100000000e+01, 1.100000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.282488180e-04, 1.100000000e+01, 1.100000000e+01, 1.282488180e-04,
 1.100000000e+01, 1.100000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.287826742e-04, 1.150000000e+01, 1.150000000e+01, 1.287826742e-04,
