 "gate Voltage (V)", "gate Int. Voltage (V)",  "gate Current (A)", "source Voltage (V)", "source Int. Voltage (V)",  "source Current (A)", "drain Voltage (V)", "drain Int. Voltage (V)",  "drain Current (A)",
 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -5.775892092e-08, 1.000000000e-01, 1.000000000e-01, 5.775892092e-08,
 -1.000000000e-01, -1.000000000e-01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -4.559178303e-08, 1.000000000e-01, 1.000000000e-01, 4.559177701e-08,
 -2.000000000e-01, -2.000000000e-01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -3.429012519e-08, 1.000000000e-01, 1.000000000e-01, 3.429012956e-08,
 -3.000000000e-01, -3.000000000e-01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -2.411541605e-08, 1.000000000e-01, 1.000000000e-01, 2.411542982e-08,
 -4.000000000e-01, -4.000000000e-01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.541305230e-08, 1.000000000e-01, 1.000000000e-01, 1.541305230e-08,
 -5.000000000e-01, -5.000000000e-01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -8.576811432e-09, 1.000000000e-01, 1.000000000e-01, 8.576811416e-09,
 -6.000000000e-01, -6.000000000e-01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -3.903943487e-09, 1.000000000e-01, 1.000000000e-01, 3.903943476e-09,
 -7.000000000e-01, -7.000000000e-01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.316958963e-09, 1.000000000e-01, 1.000000000e-01, 1.316958959e-09,
 -8.000000000e-01, -8.000000000e-01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -2.698763190e-10, 1.000000000e-01, 1.000000000e-01, 2.698763117e-10,
 -9.000000000e-01, -9.000000000e-01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -2.297150989e-11, 1.000000000e-01, 1.000000000e-01, 2.297150767e-11,
 -1.000000000e+00, -1.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -7.019706256e-13, 1.000000000e-01, 1.000000000e-01, 7.019610779e-13,
 -1.100000000e+00, -1.100000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.508441857e-14, 1.000000000e-01, 1.000000000e-01, 1.504947174e-14,
 -1.200000000e+00, -1.200000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -3.336135691e-16, 1.000000000e-01, 1.000000000e-01, 3.091265394e-16,
 -1.300000000e+00, -1.300000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -3.611988611e-18, 1.000000000e-01, 1.000000000e-01, -1.387672117e-17,
 -1.400000000e+00, -1.400000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -7.315873273e-18, 1.000000000e-01, 1.000000000e-01, 2.864191029e-18,
 -1.500000000e+00, -1.500000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, 9.857251609e-18, 1.000000000e-01, 1.000000000e-01, -1.907814698e-18,
 -1.600000000e+00, -1.600000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, 3.497751163e-18, 1.000000000e-01, 1.000000000e-01, 1.589888419e-18,
 -1.700000000e+00, -1.700000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, 1.208314398e-17, 1.000000000e-01, 1.000000000e-01, -8.585391770e-18,
 -1.800000000e+00, -1.800000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -6.359549476e-18, 1.000000000e-01, 1.000000000e-01, -5.723594527e-18,
 -1.900000000e+00, -1.900000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -2.861797264e-18, 1.000000000e-01, 1.000000000e-01, -8.903369266e-18,
 -2.000000000e+00, -2.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.335505390e-17, 1.000000000e-01, 1.000000000e-01, -1.907864843e-18,
 -2.100000000e+00, -2.100000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, 3.179774738e-19, 1.000000000e-01, 1.000000000e-01, 1.271909895e-18,
 -2.200000000e+00, -2.200000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, 8.267414318e-18, 1.000000000e-01, 1.000000000e-01, -8.267414318e-18,
 -2.300000000e+00, -2.300000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -4.133707159e-18, 1.000000000e-01, 1.000000000e-01, -8.247652141e-54,
 -2.400000000e+00, -2.400000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -3.497752212e-18, 1.000000000e-01, 1.000000000e-01, 6.359549475e-18,
 -2.500000000e+00, -2.500000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.240112148e-16, 1.000000000e-01, 1.000000000e-01, -1.151078455e-16,
 -2.600000000e+00, -2.600000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.033426790e-16, 1.000000000e-01, 1.000000000e-01, -1.049325663e-16,
 -2.700000000e+00, -2.700000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.586707594e-16, 1.000000000e-01, 1.000000000e-01, -1.201954851e-16,
 -2.800000000e+00, -2.800000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.345044714e-16, 1.000000000e-01, 1.000000000e-01, -9.730110698e-17,
 -2.900000000e+00, -2.900000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -7.440672886e-17, 1.000000000e-01, 1.000000000e-01, -7.281684149e-17,
 -3.000000000e+00, -3.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -5.532808044e-17, 1.000000000e-01, 1.000000000e-01, -5.596403538e-17,
 -3.100000000e+00, -3.100000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -6.073369749e-17, 1.000000000e-01, 1.000000000e-01, -5.055841833e-17,
 -3.200000000e+00, -3.200000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -7.949436844e-17, 1.000000000e-01, 1.000000000e-01, -8.203818823e-17,
 -3.300000000e+00, -3.300000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -9.666515203e-17, 1.000000000e-01, 1.000000000e-01, -9.920897182e-17,
 -3.400000000e+00, -3.400000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -3.974718422e-17, 1.000000000e-01, 1.000000000e-01, -5.373819307e-17,
 -3.500000000e+00, -3.500000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -5.119437328e-17, 1.000000000e-01, 1.000000000e-01, -4.674268864e-17,
 -3.600000000e+00, -3.600000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -2.893595011e-17, 1.000000000e-01, 1.000000000e-01, -3.402358969e-17,
 -3.700000000e+00, -3.700000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -3.593145454e-17, 1.000000000e-01, 1.000000000e-01, -1.049325663e-17,
 -3.800000000e+00, -3.800000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.558089621e-17, 1.000000000e-01, 1.000000000e-01, -2.098651327e-17,
 -3.900000000e+00, -3.900000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -2.734606274e-17, 1.000000000e-01, 1.000000000e-01, -7.313481897e-18,
 -4.000000000e+00, -4.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -4.101909412e-17, 1.000000000e-01, 1.000000000e-01, -3.147976990e-17,
 -4.100000000e+00, -4.100000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -2.575617538e-17, 1.000000000e-01, 1.000000000e-01, -1.589887369e-17,
 -4.200000000e+00, -4.200000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -3.338763475e-17, 1.000000000e-01, 1.000000000e-01, -8.903369266e-18,
 -4.300000000e+00, -4.300000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.907864843e-17, 1.000000000e-01, 1.000000000e-01, -2.066853580e-17,
 -4.400000000e+00, -4.400000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, 1.907864843e-18, 1.000000000e-01, 1.000000000e-01, 5.723594528e-18,
 -4.500000000e+00, -4.500000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, 6.359549475e-18, 1.000000000e-01, 1.000000000e-01, -2.543819790e-18,
 -4.600000000e+00, -4.600000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, 2.861797264e-18, 1.000000000e-01, 1.000000000e-01, -6.359549475e-18,
 -4.700000000e+00, -4.700000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, 3.497752212e-18, 1.000000000e-01, 1.000000000e-01, 7.949436844e-18,
 -4.800000000e+00, -4.800000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.112921158e-17, 1.000000000e-01, 1.000000000e-01, -1.907864843e-18,
 -4.900000000e+00, -4.900000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.907864843e-18, 1.000000000e-01, 1.000000000e-01, -8.903369266e-18,
 -5.000000000e+00, -5.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, 4.451684633e-18, 1.000000000e-01, 1.000000000e-01, 4.769662107e-18,
 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -5.775892095e-08, 1.000000000e-01, 1.000000000e-01, 5.775892095e-08,
