 "gate Voltage (V)", "gate Int. Voltage (V)",  "gate Current (A)", "source Voltage (V)", "source Int. Voltage (V)",  "source Current (A)", "drain Voltage (V)", "drain Int. Voltage (V)",  "drain Current (A)",
 1.200000000e+01, 1.200000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -4.451675414e-17, 0.000000000e+00, 0.000000000e+00, -2.066839024e-17,
 1.200000000e+01, 1.200000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.340018500e-05, 5.000000000e-01, 5.000000000e-01, 1.340018501e-05,
 1.200000000e+01, 1.200000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -2.612387476e-05, 1.000000000e+00, 1.000000000e+00, 2.612387476e-05,
 1.200000000e+01, 1.200000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -3.817675249e-05, 1.500000000e+00, 1.500000000e+00, 3.817675249e-05,
 1.200000000e+01, 1.200000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -4.956500373e-05, 2.000000000e+00, 2.000000000e+00, 4.956500373e-05,
 1.200000000e+01, 1.200000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -6.029537873e-05, 2.500000000e+00, 2.500000000e+00, 6.029537873e-05,
 1.200000000e+01, 1.200000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -7.037526237e-05, 3.000000000e+00, 3.000000000e+00, 7.037526237e-05,
 1.200000000e+01, 1.200000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -7.981275114e-05, 3.500000000e+00, 3.500000000e+00, 7.981275114e-05,
 1.200000000e+01, 1.200000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -8.861673575e-05, 4.000000000e+00, 4.000000000e+00, 8.861673575e-05,
 1.200000000e+01, 1.200000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -9.679698685e-05, 4.500000000e+00, 4.500000000e+00, 9.679698685e-05,
 1.200000000e+01, 1.200000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.043642398e-04, 5.000000000e+00, 5.000000000e+00, 1.043642398e-04,
 1.200000000e+01, 1.200000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.113302723e-04, 5.500000000e+00, 5.500000000e+00, 1.113302723e-04,
 1.200000000e+01, 1.200000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.177079685e-04, 6.000000000e+00, 6.000000000e+00, 1.177079685e-04,
 1.200000000e+01, 1.200000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.235113592e-04, 6.500000000e+00, 6.500000000e+00, 1.235113592e-04,
 1.200000000e+01, 1.200000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.287556340e-04, 7.000000000e+00, 7.000000000e+00, 1.287556339e-04,
 1.200000000e+01, 1.200000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.334571233e-04, 7.500000000e+00, 7.500000000e+00, 1.334571231e-04,
 1.200000000e+01, 1.200000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.376332616e-04, 8.000000000e+00, 8.000000000e+00, 1.376332611e-04,
 1.200000000e+01, 1.200000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.413025612e-04, 8.500000000e+00, 8.500000000e+00, 1.413025598e-04,
 1.200000000e+01, 1.200000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.444846514e-04, 9.000000000e+00, 9.000000000e+00, 1.444846473e-04,
 1.200000000e+01, 1.200000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.472004692e-04, 9.500000000e+00, 9.500000000e+00, 1.472004558e-04,
 1.200000000e+01, 1.200000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.494727409e-04, 1.000000000e+01, 1.000000000e+01, 1.494727409e-04,
 1.200000000e+01, 1.200000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.513269983e-04, 1.050000000e+01, 1.050000000e+01, 1.513269983e-04,
 1.200000000e+01, 1.200000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.527935357e-04, 1.100000000e+01, 1.100000000e+01, 1.527935357e-04,
 1.200000000e+01, 1.200000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.539106065e-04, 1.150000000e+01, 1.150000000e+01, 1.539106065e-04,
 1.200000000e+01, 1.200000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.547277697e-04, 1.200000000e+01, 1.200000000e+01, 1.547277697e-04,
 1.200000000e+01, 1.200000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.553055658e-04, 1.250000000e+01, 1.250000000e+01, 1.553055658e-04,
 1.200000000e+01, 1.200000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.557081718e-04, 1.300000000e+01, 1.300000000e+01, 1.557081718e-04,
 1.200000000e+01, 1.200000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.559922295e-04, 1.350000000e+01, 1.350000000e+01, 1.559922295e-04,
 1.200000000e+01, 1.200000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.561997114e-04, 1.400000000e+01, 1.400000000e+01, 1.561997113e-04,
 1.200000000e+01, 1.200000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.563580929e-04, 1.450000000e+01, 1.450000000e+01, 1.563580928e-04,
 1.200000000e+01, 1.200000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.564843048e-04, 1.500000000e+01, 1.500000000e+01, 1.564843047e-04,
 1.200000000e+01, 1.200000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.565886624e-04, 1.550000000e+01, 1.550000000e+01, 1.565886623e-04,
 1.200000000e+01, 1.200000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.566775587e-04, 1.600000000e+01, 1.600000000e+01, 1.566775587e-04,
 1.200000000e+01, 1.200000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.567550781e-04, 1.650000000e+01, 1.650000000e+01, 1.567550781e-04,
 1.200000000e+01, 1.200000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.568239216e-04, 1.700000000e+01, 1.700000000e+01, 1.568239216e-04,
 1.200000000e+01, 1.200000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.568859391e-04, 1.750000000e+01, 1.750000000e+01, 1.568859391e-04,
 1.200000000e+01, 1.200000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.569424399e-04, 1.800000000e+01, 1.800000000e+01, 1.569424399e-04,
 1.200000000e+01, 1.200000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.569943791e-04, 1.850000000e+01, 1.850000000e+01, 1.569943791e-04,
 1.200000000e+01, 1.200000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.570424729e-04, 1.900000000e+01, 1.900000000e+01, 1.570424729e-04,
 1.200000000e+01, 1.200000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.570872723e-04, 1.950000000e+01, 1.950000000e+01, 1.570872723e-04,
 1.200000000e+01, 1.200000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.571292100e-04, 2.000000000e+01, 2.000000000e+01, 1.571292100e-04,
