 "gate Voltage (V)", "gate Int. Voltage (V)",  "gate Current (A)", "source Voltage (V)", "source Int. Voltage (V)",  "source Current (A)", "drain Voltage (V)", "drain Int. Voltage (V)",  "drain Current (A)",
 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.107431285e-08, 1.000000000e-01, 1.000000000e-01, 1.107431288e-08,
 -1.000000000e-01, -1.000000000e-01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -8.832973940e-09, 1.000000000e-01, 1.000000000e-01, 8.832973909e-09,
 -2.000000000e-01, -2.000000000e-01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -6.718486142e-09, 1.000000000e-01, 1.000000000e-01, 6.718486153e-09,
 -3.000000000e-01, -3.000000000e-01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -4.779761068e-09, 1.000000000e-01, 1.000000000e-01, 4.779761054e-09,
 -4.000000000e-01, -4.000000000e-01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -3.089100819e-09, 1.000000000e-01, 1.000000000e-01, 3.089100804e-09,
 -5.000000000e-01, -5.000000000e-01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.738139468e-09, 1.000000000e-01, 1.000000000e-01, 1.738139466e-09,
 -6.000000000e-01, -6.000000000e-01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -7.992000266e-10, 1.000000000e-01, 1.000000000e-01, 7.992000355e-10,
 -7.000000000e-01, -7.000000000e-01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -2.619281274e-10, 1.000000000e-01, 1.000000000e-01, 2.619281411e-10,
 -8.000000000e-01, -8.000000000e-01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -4.400329234e-11, 1.000000000e-01, 1.000000000e-01, 4.400329560e-11,
 -9.000000000e-01, -9.000000000e-01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -3.584935788e-12, 1.000000000e-01, 1.000000000e-01, 3.584971765e-12,
 -1.000000000e+00, -1.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.714878782e-13, 1.000000000e-01, 1.000000000e-01, 1.715313852e-13,
 -1.100000000e+00, -1.100000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -6.185968744e-15, 1.000000000e-01, 1.000000000e-01, 6.187280374e-15,
 -1.200000000e+00, -1.200000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.840488468e-16, 1.000000000e-01, 1.000000000e-01, 1.627343355e-16,
 -1.300000000e+00, -1.300000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -4.851486897e-18, 1.000000000e-01, 1.000000000e-01, 3.696707203e-17,
 -1.400000000e+00, -1.400000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -4.453657380e-18, 1.000000000e-01, 1.000000000e-01, 9.859273104e-18,
 -1.500000000e+00, -1.500000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, 4.451640019e-18, 1.000000000e-01, 1.000000000e-01, -4.769617492e-18,
 -1.600000000e+00, -1.600000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -8.267415298e-18, 1.000000000e-01, 1.000000000e-01, 1.335505488e-17,
 -1.700000000e+00, -1.700000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, 5.087639559e-18, 1.000000000e-01, 1.000000000e-01, -1.049325661e-17,
 -1.800000000e+00, -1.800000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.081123411e-17, 1.000000000e-01, 1.000000000e-01, 6.041572002e-18,
 -1.900000000e+00, -1.900000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.589887369e-18, 1.000000000e-01, 1.000000000e-01, -1.335505390e-17,
 -2.000000000e+00, -2.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -2.225842316e-18, 1.000000000e-01, 1.000000000e-01, 2.861797264e-18,
 -2.100000000e+00, -2.100000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, 1.844269348e-17, 1.000000000e-01, 1.000000000e-01, -1.907864843e-18,
 -2.200000000e+00, -2.200000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, 1.144718906e-17, 1.000000000e-01, 1.000000000e-01, 9.539324213e-19,
 -2.300000000e+00, -2.300000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, 5.087639580e-18, 1.000000000e-01, 1.000000000e-01, -4.451684633e-18,
 -2.400000000e+00, -2.400000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -3.179774738e-19, 1.000000000e-01, 1.000000000e-01, -3.497752212e-18,
 -2.500000000e+00, -2.500000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -6.359549475e-19, 1.000000000e-01, 1.000000000e-01, 7.631459371e-18,
 -2.600000000e+00, -2.600000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -5.723594528e-18, 1.000000000e-01, 1.000000000e-01, 4.769662107e-18,
 -2.700000000e+00, -2.700000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, 1.589887369e-18, 1.000000000e-01, 1.000000000e-01, -1.271909895e-17,
 -2.800000000e+00, -2.800000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.399100885e-17, 1.000000000e-01, 1.000000000e-01, -3.434156717e-17,
 -2.900000000e+00, -2.900000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -5.322942911e-16, 1.000000000e-01, 1.000000000e-01, -5.246628317e-16,
