 "gate Voltage (V)", "gate Int. Voltage (V)",  "gate Current (A)", "source Voltage (V)", "source Int. Voltage (V)",  "source Current (A)", "drain Voltage (V)", "drain Int. Voltage (V)",  "drain Current (A)",
 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -3.892427116e-09, 1.000000000e-01, 1.000000000e-01, 3.892427125e-09,
 -1.000000000e-01, -1.000000000e-01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -2.301859151e-09, 1.000000000e-01, 1.000000000e-01, 2.301859164e-09,
 -2.000000000e-01, -2.000000000e-01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.300155056e-09, 1.000000000e-01, 1.000000000e-01, 1.300155052e-09,
 -3.000000000e-01, -3.000000000e-01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -6.975038426e-10, 1.000000000e-01, 1.000000000e-01, 6.975038302e-10,
 -4.000000000e-01, -4.000000000e-01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -3.350315710e-10, 1.000000000e-01, 1.000000000e-01, 3.350315770e-10,
 -5.000000000e-01, -5.000000000e-01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.238452994e-10, 1.000000000e-01, 1.000000000e-01, 1.238453079e-10,
 -6.000000000e-01, -6.000000000e-01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -2.982270408e-11, 1.000000000e-01, 1.000000000e-01, 2.982271444e-11,
 -7.000000000e-01, -7.000000000e-01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -6.420906864e-12, 1.000000000e-01, 1.000000000e-01, 6.420891987e-12,
 -8.000000000e-01, -8.000000000e-01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.270381071e-12, 1.000000000e-01, 1.000000000e-01, 1.270387798e-12,
 -9.000000000e-01, -9.000000000e-01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.363502477e-13, 1.000000000e-01, 1.000000000e-01, 1.363390995e-13,
 -1.000000000e+00, -1.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.368761209e-14, 1.000000000e-01, 1.000000000e-01, 1.369329115e-14,
 -1.100000000e+00, -1.100000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -9.159241585e-16, 1.000000000e-01, 1.000000000e-01, 9.244185215e-16,
 -1.200000000e+00, -1.200000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -4.317634439e-17, 1.000000000e-01, 1.000000000e-01, 5.048660256e-17,
 -1.300000000e+00, -1.300000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, 1.555990863e-18, 1.000000000e-01, 1.000000000e-01, -1.556090282e-18,
 -1.400000000e+00, -1.400000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, 6.348052327e-19, 1.000000000e-01, 1.000000000e-01, 5.724742036e-18,
 -1.500000000e+00, -1.500000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, 2.543787782e-18, 1.000000000e-01, 1.000000000e-01, 5.723626499e-18,
 -1.600000000e+00, -1.600000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -7.949437640e-18, 1.000000000e-01, 1.000000000e-01, -1.303707563e-17,
 -1.700000000e+00, -1.700000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.589887371e-17, 1.000000000e-01, 1.000000000e-01, -2.035055830e-17,
 -1.800000000e+00, -1.800000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.367303137e-17, 1.000000000e-01, 1.000000000e-01, -5.723594528e-18,
 -1.900000000e+00, -1.900000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, 2.543819790e-18, 1.000000000e-01, 1.000000000e-01, -1.971460337e-17,
 -2.000000000e+00, -2.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, 3.179774738e-19, 1.000000000e-01, 1.000000000e-01, -4.133707159e-18,
 -2.100000000e+00, -2.100000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.653482864e-17, 1.000000000e-01, 1.000000000e-01, -2.543819790e-18,
 -2.200000000e+00, -2.200000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -5.087639580e-18, 1.000000000e-01, 1.000000000e-01, -2.543819790e-18,
 -2.300000000e+00, -2.300000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -2.543819790e-18, 1.000000000e-01, 1.000000000e-01, 5.405617054e-18,
 -2.400000000e+00, -2.400000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -9.539324213e-18, 1.000000000e-01, 1.000000000e-01, -1.081123411e-17,
