 "gate Voltage (V)", "gate Int. Voltage (V)",  "gate Current (A)", "source Voltage (V)", "source Int. Voltage (V)",  "source Current (A)", "drain Voltage (V)", "drain Int. Voltage (V)",  "drain Current (A)",
 2.000000000e-01, 2.000000000e-01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -2.072499638e-09, 1.000000000e-01, 1.000000000e-01, 2.072499639e-09,
 4.000000000e-01, 4.000000000e-01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -2.977771780e-09, 1.000000000e-01, 1.000000000e-01, 2.977771782e-09,
 6.000000000e-01, 6.000000000e-01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -3.960475998e-09, 1.000000000e-01, 1.000000000e-01, 3.960476005e-09,
 8.000000000e-01, 8.000000000e-01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -4.989909364e-09, 1.000000000e-01, 1.000000000e-01, 4.989909379e-09,
 1.000000000e+00, 1.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -6.047564087e-09, 1.000000000e-01, 1.000000000e-01, 6.047564116e-09,
 1.200000000e+00, 1.200000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -7.122969443e-09, 1.000000000e-01, 1.000000000e-01, 7.122969462e-09,
 1.400000000e+00, 1.400000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -8.210473672e-09, 1.000000000e-01, 1.000000000e-01, 8.210473657e-09,
 1.600000000e+00, 1.600000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -9.309356225e-09, 1.000000000e-01, 1.000000000e-01, 9.307225824e-09,
 1.800000000e+00, 1.800000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.041455509e-08, 1.000000000e-01, 1.000000000e-01, 1.041202565e-08,
 2.000000000e+00, 2.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.152690961e-08, 1.000000000e-01, 1.000000000e-01, 1.152469523e-08,
 2.200000000e+00, 2.200000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.264740302e-08, 1.000000000e-01, 1.000000000e-01, 1.264544813e-08,
 2.400000000e+00, 2.400000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.377651905e-08, 1.000000000e-01, 1.000000000e-01, 1.377480359e-08,
 2.600000000e+00, 2.600000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.491486940e-08, 1.000000000e-01, 1.000000000e-01, 1.491337890e-08,
 2.800000000e+00, 2.800000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.606307639e-08, 1.000000000e-01, 1.000000000e-01, 1.606179493e-08,
 3.000000000e+00, 3.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.722170792e-08, 1.000000000e-01, 1.000000000e-01, 1.722062089e-08,
 3.200000000e+00, 3.200000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.839125470e-08, 1.000000000e-01, 1.000000000e-01, 1.839034471e-08,
 3.400000000e+00, 3.400000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.957211334e-08, 1.000000000e-01, 1.000000000e-01, 1.957136051e-08,
 3.600000000e+00, 3.600000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -2.076458347e-08, 1.000000000e-01, 1.000000000e-01, 2.076396688e-08,
 3.800000000e+00, 3.800000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -2.196887294e-08, 1.000000000e-01, 1.000000000e-01, 2.196837220e-08,
 4.000000000e+00, 4.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -2.318510813e-08, 1.000000000e-01, 1.000000000e-01, 2.318470415e-08,
 4.200000000e+00, 4.200000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -2.441334563e-08, 1.000000000e-01, 1.000000000e-01, 2.441302134e-08,
 4.400000000e+00, 4.400000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -2.565358513e-08, 1.000000000e-01, 1.000000000e-01, 2.565332576e-08,
 4.600000000e+00, 4.600000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -2.690578197e-08, 1.000000000e-01, 1.000000000e-01, 2.690557489e-08,
 4.800000000e+00, 4.800000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -2.816985863e-08, 1.000000000e-01, 1.000000000e-01, 2.816969338e-08,
 5.000000000e+00, 5.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -2.944571507e-08, 1.000000000e-01, 1.000000000e-01, 2.944558312e-08,
 5.200000000e+00, 5.200000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -3.073323804e-08, 1.000000000e-01, 1.000000000e-01, 3.073313242e-08,
 5.400000000e+00, 5.400000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -3.203230816e-08, 1.000000000e-01, 1.000000000e-01, 3.203222338e-08,
 5.600000000e+00, 5.600000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -3.334280658e-08, 1.000000000e-01, 1.000000000e-01, 3.334273821e-08,
 5.800000000e+00, 5.800000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -3.466461962e-08, 1.000000000e-01, 1.000000000e-01, 3.466456417e-08,
 6.000000000e+00, 6.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -3.599764263e-08, 1.000000000e-01, 1.000000000e-01, 3.599759740e-08,
 6.200000000e+00, 6.200000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -3.734178300e-08, 1.000000000e-01, 1.000000000e-01, 3.734174586e-08,
 6.400000000e+00, 6.400000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -3.869696198e-08, 1.000000000e-01, 1.000000000e-01, 3.869693124e-08,
 6.600000000e+00, 6.600000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -4.006311613e-08, 1.000000000e-01, 1.000000000e-01, 4.006309046e-08,
 6.800000000e+00, 6.800000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -4.144019811e-08, 1.000000000e-01, 1.000000000e-01, 4.144017655e-08,
 7.000000000e+00, 7.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -4.282817716e-08, 1.000000000e-01, 1.000000000e-01, 4.282815884e-08,
 7.200000000e+00, 7.200000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -4.422703893e-08, 1.000000000e-01, 1.000000000e-01, 4.422702326e-08,
 7.400000000e+00, 7.400000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -4.563678549e-08, 1.000000000e-01, 1.000000000e-01, 4.563677197e-08,
 7.600000000e+00, 7.600000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -4.705743481e-08, 1.000000000e-01, 1.000000000e-01, 4.705742301e-08,
 7.800000000e+00, 7.800000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -4.848902031e-08, 1.000000000e-01, 1.000000000e-01, 4.848900999e-08,
 8.000000000e+00, 8.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -4.993159029e-08, 1.000000000e-01, 1.000000000e-01, 4.993158112e-08,
 8.200000000e+00, 8.200000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -5.138520722e-08, 1.000000000e-01, 1.000000000e-01, 5.138519905e-08,
 8.400000000e+00, 8.400000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -5.284994712e-08, 1.000000000e-01, 1.000000000e-01, 5.284993975e-08,
 8.600000000e+00, 8.600000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -5.432589886e-08, 1.000000000e-01, 1.000000000e-01, 5.432589217e-08,
 8.800000000e+00, 8.800000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -5.581316352e-08, 1.000000000e-01, 1.000000000e-01, 5.581315746e-08,
 9.000000000e+00, 9.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -5.731185381e-08, 1.000000000e-01, 1.000000000e-01, 5.731184822e-08,
 9.200000000e+00, 9.200000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -5.882209338e-08, 1.000000000e-01, 1.000000000e-01, 5.882208821e-08,
 9.400000000e+00, 9.400000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -6.034401628e-08, 1.000000000e-01, 1.000000000e-01, 6.034401152e-08,
 9.600000000e+00, 9.600000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -6.187776645e-08, 1.000000000e-01, 1.000000000e-01, 6.187776199e-08,
 9.800000000e+00, 9.800000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -6.342349726e-08, 1.000000000e-01, 1.000000000e-01, 6.342349304e-08,
 1.000000000e+01, 1.000000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -6.498137091e-08, 1.000000000e-01, 1.000000000e-01, 6.498136694e-08,
 1.020000000e+01, 1.020000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -6.655155815e-08, 1.000000000e-01, 1.000000000e-01, 6.655155440e-08,
 1.040000000e+01, 1.040000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -6.813423794e-08, 1.000000000e-01, 1.000000000e-01, 6.813423438e-08,
 1.060000000e+01, 1.060000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -6.972959693e-08, 1.000000000e-01, 1.000000000e-01, 6.972959355e-08,
 1.080000000e+01, 1.080000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -7.133782933e-08, 1.000000000e-01, 1.000000000e-01, 7.133782613e-08,
 1.100000000e+01, 1.100000000e+01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -7.295913649e-08, 1.000000000e-01, 1.000000000e-01, 7.295913342e-08,
