 "gate Voltage (V)", "gate Int. Voltage (V)",  "gate Current (A)", "source Voltage (V)", "source Int. Voltage (V)",  "source Current (A)", "drain Voltage (V)", "drain Int. Voltage (V)",  "drain Current (A)",
 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -3.182848936e-05, 1.000000000e-01, 1.000000000e-01, 3.182848936e-05,
 -1.000000000e-01, -1.000000000e-01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -3.182040288e-05, 1.000000000e-01, 1.000000000e-01, 3.182040288e-05,
 -2.000000000e-01, -2.000000000e-01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -3.181235466e-05, 1.000000000e-01, 1.000000000e-01, 3.181235466e-05,
 -3.000000000e-01, -3.000000000e-01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -3.180434461e-05, 1.000000000e-01, 1.000000000e-01, 3.180434461e-05,
 -4.000000000e-01, -4.000000000e-01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -3.179637260e-05, 1.000000000e-01, 1.000000000e-01, 3.179637260e-05,
 -5.000000000e-01, -5.000000000e-01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -3.178843854e-05, 1.000000000e-01, 1.000000000e-01, 3.178843854e-05,
 -6.000000000e-01, -6.000000000e-01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -3.178054232e-05, 1.000000000e-01, 1.000000000e-01, 3.178054232e-05,
 -7.000000000e-01, -7.000000000e-01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -3.177268382e-05, 1.000000000e-01, 1.000000000e-01, 3.177268382e-05,
 -8.000000000e-01, -8.000000000e-01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -3.176486293e-05, 1.000000000e-01, 1.000000000e-01, 3.176486293e-05,
 -9.000000000e-01, -9.000000000e-01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -3.175707954e-05, 1.000000000e-01, 1.000000000e-01, 3.175707954e-05,
 -1.000000000e+00, -1.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -3.174933354e-05, 1.000000000e-01, 1.000000000e-01, 3.174933354e-05,
 -1.100000000e+00, -1.100000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -3.174162482e-05, 1.000000000e-01, 1.000000000e-01, 3.174162482e-05,
 -1.200000000e+00, -1.200000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -3.173395325e-05, 1.000000000e-01, 1.000000000e-01, 3.173395325e-05,
 -1.300000000e+00, -1.300000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -3.172631872e-05, 1.000000000e-01, 1.000000000e-01, 3.172631872e-05,
 -1.400000000e+00, -1.400000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -3.171872112e-05, 1.000000000e-01, 1.000000000e-01, 3.171872112e-05,
 -1.500000000e+00, -1.500000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -3.171116032e-05, 1.000000000e-01, 1.000000000e-01, 3.171116032e-05,
 -1.600000000e+00, -1.600000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -3.170363620e-05, 1.000000000e-01, 1.000000000e-01, 3.170363620e-05,
 -1.700000000e+00, -1.700000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -3.169614865e-05, 1.000000000e-01, 1.000000000e-01, 3.169614865e-05,
 -1.800000000e+00, -1.800000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -3.168869755e-05, 1.000000000e-01, 1.000000000e-01, 3.168869755e-05,
 -1.900000000e+00, -1.900000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -3.168128277e-05, 1.000000000e-01, 1.000000000e-01, 3.168128277e-05,
 -2.000000000e+00, -2.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -3.167390419e-05, 1.000000000e-01, 1.000000000e-01, 3.167390419e-05,
 -2.100000000e+00, -2.100000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -3.166656168e-05, 1.000000000e-01, 1.000000000e-01, 3.166656168e-05,
 -2.200000000e+00, -2.200000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -3.165925512e-05, 1.000000000e-01, 1.000000000e-01, 3.165925512e-05,
 -2.300000000e+00, -2.300000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -3.165198439e-05, 1.000000000e-01, 1.000000000e-01, 3.165198439e-05,
 -2.400000000e+00, -2.400000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -3.164474936e-05, 1.000000000e-01, 1.000000000e-01, 3.164474936e-05,
 -2.500000000e+00, -2.500000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -3.163754990e-05, 1.000000000e-01, 1.000000000e-01, 3.163754990e-05,
 -2.600000000e+00, -2.600000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -3.163038588e-05, 1.000000000e-01, 1.000000000e-01, 3.163038588e-05,
 -2.700000000e+00, -2.700000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -3.162325718e-05, 1.000000000e-01, 1.000000000e-01, 3.162325718e-05,
