 "gate Voltage (V)", "gate Int. Voltage (V)",  "gate Current (A)", "source Voltage (V)", "source Int. Voltage (V)",  "source Current (A)", "drain Voltage (V)", "drain Int. Voltage (V)",  "drain Current (A)",
 2.000000000e-01, 2.000000000e-01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.154053816e-05, 1.000000000e-01, 1.000000000e-01, 1.154053816e-05,
 4.000000000e-01, 4.000000000e-01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.155108279e-05, 1.000000000e-01, 1.000000000e-01, 1.155108279e-05,
 6.000000000e-01, 6.000000000e-01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.156176977e-05, 1.000000000e-01, 1.000000000e-01, 1.156176977e-05,
 8.000000000e-01, 8.000000000e-01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.157260107e-05, 1.000000000e-01, 1.000000000e-01, 1.157260107e-05,
 1.000000000e+00, 1.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.158357867e-05, 1.000000000e-01, 1.000000000e-01, 1.158357867e-05,
 1.200000000e+00, 1.200000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.159470458e-05, 1.000000000e-01, 1.000000000e-01, 1.159470458e-05,
 1.400000000e+00, 1.400000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.160598079e-05, 1.000000000e-01, 1.000000000e-01, 1.160598079e-05,
 1.600000000e+00, 1.600000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.161740929e-05, 1.000000000e-01, 1.000000000e-01, 1.161740929e-05,
 1.800000000e+00, 1.800000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.162899209e-05, 1.000000000e-01, 1.000000000e-01, 1.162899209e-05,
 2.000000000e+00, 2.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.164073119e-05, 1.000000000e-01, 1.000000000e-01, 1.164073119e-05,
 2.200000000e+00, 2.200000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.165262859e-05, 1.000000000e-01, 1.000000000e-01, 1.165262859e-05,
 2.400000000e+00, 2.400000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.166468627e-05, 1.000000000e-01, 1.000000000e-01, 1.166468627e-05,
 2.600000000e+00, 2.600000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.167690623e-05, 1.000000000e-01, 1.000000000e-01, 1.167690623e-05,
 2.800000000e+00, 2.800000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.168929046e-05, 1.000000000e-01, 1.000000000e-01, 1.168929046e-05,
 3.000000000e+00, 3.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.170184093e-05, 1.000000000e-01, 1.000000000e-01, 1.170184093e-05,
 3.200000000e+00, 3.200000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.171455960e-05, 1.000000000e-01, 1.000000000e-01, 1.171455960e-05,
 3.400000000e+00, 3.400000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.172744844e-05, 1.000000000e-01, 1.000000000e-01, 1.172744844e-05,
 3.600000000e+00, 3.600000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.174050938e-05, 1.000000000e-01, 1.000000000e-01, 1.174050938e-05,
 3.800000000e+00, 3.800000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.175374436e-05, 1.000000000e-01, 1.000000000e-01, 1.175374436e-05,
 4.000000000e+00, 4.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.176715529e-05, 1.000000000e-01, 1.000000000e-01, 1.176715529e-05,
