 "gate Voltage (V)", "gate Int. Voltage (V)",  "gate Current (A)", "source Voltage (V)", "source Int. Voltage (V)",  "source Current (A)", "drain Voltage (V)", "drain Int. Voltage (V)",  "drain Current (A)",
 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -5.714743338e-09, 1.000000000e-01, 1.000000000e-01, 5.714743328e-09,
 -1.000000000e-01, -1.000000000e-01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -3.706042181e-09, 1.000000000e-01, 1.000000000e-01, 3.706042170e-09,
 -2.000000000e-01, -2.000000000e-01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -2.262925245e-09, 1.000000000e-01, 1.000000000e-01, 2.262925260e-09,
 -3.000000000e-01, -3.000000000e-01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.283561685e-09, 1.000000000e-01, 1.000000000e-01, 1.283561702e-09,
 -4.000000000e-01, -4.000000000e-01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -6.401294283e-10, 1.000000000e-01, 1.000000000e-01, 6.401294457e-10,
 -5.000000000e-01, -5.000000000e-01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -2.433178913e-10, 1.000000000e-01, 1.000000000e-01, 2.433178833e-10,
 -6.000000000e-01, -6.000000000e-01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -5.996394196e-11, 1.000000000e-01, 1.000000000e-01, 5.996394139e-11,
 -7.000000000e-01, -7.000000000e-01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.304617864e-11, 1.000000000e-01, 1.000000000e-01, 1.304617929e-11,
 -8.000000000e-01, -8.000000000e-01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -2.591090218e-12, 1.000000000e-01, 1.000000000e-01, 2.591095565e-12,
 -9.000000000e-01, -9.000000000e-01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -2.788220380e-13, 1.000000000e-01, 1.000000000e-01, 2.788032920e-13,
 -1.000000000e+00, -1.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -2.807174260e-14, 1.000000000e-01, 1.000000000e-01, 2.805447694e-14,
 -1.100000000e+00, -1.100000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.880543458e-15, 1.000000000e-01, 1.000000000e-01, 1.900676186e-15,
 -1.200000000e+00, -1.200000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -9.404024703e-17, 1.000000000e-01, 1.000000000e-01, 1.099313501e-16,
 -1.300000000e+00, -1.300000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -8.337451496e-18, 1.000000000e-01, 1.000000000e-01, -9.151548389e-18,
 -1.400000000e+00, -1.400000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, 9.854923639e-18, 1.000000000e-01, 1.000000000e-01, -1.587514722e-18,
 -1.500000000e+00, -1.500000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, 8.903302981e-18, 1.000000000e-01, 1.000000000e-01, -1.907798652e-18,
 -1.600000000e+00, -1.600000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, 8.585390142e-18, 1.000000000e-01, 1.000000000e-01, -8.903367617e-18,
 -1.700000000e+00, -1.700000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, 1.589887330e-18, 1.000000000e-01, 1.000000000e-01, -7.949436805e-18,
 -1.800000000e+00, -1.800000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.907864844e-18, 1.000000000e-01, 1.000000000e-01, -4.451684632e-18,
 -1.900000000e+00, -1.900000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.271909895e-18, 1.000000000e-01, 1.000000000e-01, 1.971460337e-17,
 -2.000000000e+00, -2.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, 6.677526949e-18, 1.000000000e-01, 1.000000000e-01, 5.405617054e-18,
 -2.100000000e+00, -2.100000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, 5.723594528e-18, 1.000000000e-01, 1.000000000e-01, -3.179774738e-18,
 -2.200000000e+00, -2.200000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -3.179774738e-18, 1.000000000e-01, 1.000000000e-01, -1.208314400e-17,
