 "gate Voltage (V)", "gate Int. Voltage (V)",  "gate Current (A)", "source Voltage (V)", "source Int. Voltage (V)",  "source Current (A)", "drain Voltage (V)", "drain Int. Voltage (V)",  "drain Current (A)",
 2.000000000e-01, 2.000000000e-01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.136670229e-08, 1.000000000e-01, 1.000000000e-01, 1.136670226e-08,
 4.000000000e-01, 4.000000000e-01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.849704993e-08, 1.000000000e-01, 1.000000000e-01, 1.849704992e-08,
 6.000000000e-01, 6.000000000e-01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -2.638407436e-08, 1.000000000e-01, 1.000000000e-01, 2.638407438e-08,
 8.000000000e-01, 8.000000000e-01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -3.468502341e-08, 1.000000000e-01, 1.000000000e-01, 3.468502339e-08,
 1.000000000e+00, 1.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -4.327122966e-08, 1.000000000e-01, 1.000000000e-01, 4.327122951e-08,
 1.200000000e+00, 1.200000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -5.210580426e-08, 1.000000000e-01, 1.000000000e-01, 5.210580415e-08,
 1.400000000e+00, 1.400000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -6.118895599e-08, 1.000000000e-01, 1.000000000e-01, 6.118895592e-08,
 1.600000000e+00, 1.600000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -7.053398543e-08, 1.000000000e-01, 1.000000000e-01, 7.053398542e-08,
 1.800000000e+00, 1.800000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -8.015628156e-08, 1.000000000e-01, 1.000000000e-01, 8.015628156e-08,
 2.000000000e+00, 2.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -9.006827100e-08, 1.000000000e-01, 1.000000000e-01, 9.006827099e-08,
 2.200000000e+00, 2.200000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.002773987e-07, 1.000000000e-01, 1.000000000e-01, 1.002773987e-07,
 2.400000000e+00, 2.400000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.107924111e-07, 1.000000000e-01, 1.000000000e-01, 1.107857865e-07,
 2.600000000e+00, 2.600000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.215949360e-07, 1.000000000e-01, 1.000000000e-01, 1.215908549e-07,
 2.800000000e+00, 2.800000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.326889341e-07, 1.000000000e-01, 1.000000000e-01, 1.326863936e-07,
 3.000000000e+00, 3.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.440653984e-07, 1.000000000e-01, 1.000000000e-01, 1.440637972e-07,
 3.200000000e+00, 3.200000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.557142537e-07, 1.000000000e-01, 1.000000000e-01, 1.557132302e-07,
 3.400000000e+00, 3.400000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.676252630e-07, 1.000000000e-01, 1.000000000e-01, 1.676245978e-07,
 3.600000000e+00, 3.600000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.797887174e-07, 1.000000000e-01, 1.000000000e-01, 1.797882769e-07,
 3.800000000e+00, 3.800000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.921959091e-07, 1.000000000e-01, 1.000000000e-01, 1.921956111e-07,
 4.000000000e+00, 4.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -2.048394101e-07, 1.000000000e-01, 1.000000000e-01, 2.048392036e-07,
 4.200000000e+00, 4.200000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -2.177132021e-07, 1.000000000e-01, 1.000000000e-01, 2.177130553e-07,
 4.400000000e+00, 4.400000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -2.308126989e-07, 1.000000000e-01, 1.000000000e-01, 2.308125917e-07,
 4.600000000e+00, 4.600000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -2.441346977e-07, 1.000000000e-01, 1.000000000e-01, 2.441346171e-07,
 4.800000000e+00, 4.800000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -2.576772898e-07, 1.000000000e-01, 1.000000000e-01, 2.576772273e-07,
 5.000000000e+00, 5.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -2.714397506e-07, 1.000000000e-01, 1.000000000e-01, 2.714397009e-07,
 5.200000000e+00, 5.200000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -2.854224237e-07, 1.000000000e-01, 1.000000000e-01, 2.854223830e-07,
 5.400000000e+00, 5.400000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -2.996266069e-07, 1.000000000e-01, 1.000000000e-01, 2.996265727e-07,
 5.600000000e+00, 5.600000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -3.140544462e-07, 1.000000000e-01, 1.000000000e-01, 3.140544167e-07,
 5.800000000e+00, 5.800000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -3.287088393e-07, 1.000000000e-01, 1.000000000e-01, 3.287088133e-07,
 6.000000000e+00, 6.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -3.435933502e-07, 1.000000000e-01, 1.000000000e-01, 3.435933269e-07,
 6.200000000e+00, 6.200000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -3.587121344e-07, 1.000000000e-01, 1.000000000e-01, 3.587121132e-07,
 6.400000000e+00, 6.400000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -3.740698735e-07, 1.000000000e-01, 1.000000000e-01, 3.740698538e-07,
 6.600000000e+00, 6.600000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -3.896717187e-07, 1.000000000e-01, 1.000000000e-01, 3.896717003e-07,
 6.800000000e+00, 6.800000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -4.055232430e-07, 1.000000000e-01, 1.000000000e-01, 4.055232255e-07,
 7.000000000e+00, 7.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -4.216303980e-07, 1.000000000e-01, 1.000000000e-01, 4.216303813e-07,
 7.200000000e+00, 7.200000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -4.379994788e-07, 1.000000000e-01, 1.000000000e-01, 4.379994627e-07,
 7.400000000e+00, 7.400000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -4.546370914e-07, 1.000000000e-01, 1.000000000e-01, 4.546370758e-07,
 7.600000000e+00, 7.600000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -4.715501252e-07, 1.000000000e-01, 1.000000000e-01, 4.715501100e-07,
 7.800000000e+00, 7.800000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -4.887457286e-07, 1.000000000e-01, 1.000000000e-01, 4.887457138e-07,
 8.000000000e+00, 8.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -5.062312867e-07, 1.000000000e-01, 1.000000000e-01, 5.062312722e-07,
 8.200000000e+00, 8.200000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -5.240144016e-07, 1.000000000e-01, 1.000000000e-01, 5.240143874e-07,
 8.400000000e+00, 8.400000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -5.421028735e-07, 1.000000000e-01, 1.000000000e-01, 5.421028595e-07,
 8.600000000e+00, 8.600000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -5.605046840e-07, 1.000000000e-01, 1.000000000e-01, 5.605046703e-07,
 8.800000000e+00, 8.800000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -5.792279799e-07, 1.000000000e-01, 1.000000000e-01, 5.792279664e-07,
