 "gate Voltage (V)", "gate Int. Voltage (V)",  "gate Current (A)", "source Voltage (V)", "source Int. Voltage (V)",  "source Current (A)", "drain Voltage (V)", "drain Int. Voltage (V)",  "drain Current (A)",
 2.000000000e-01, 2.000000000e-01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.966835536e-11, 1.000000000e-01, 1.000000000e-01, 1.966836285e-11,
 4.000000000e-01, 4.000000000e-01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -7.150554356e-11, 1.000000000e-01, 1.000000000e-01, 7.150555263e-11,
 6.000000000e-01, 6.000000000e-01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.934889060e-10, 1.000000000e-01, 1.000000000e-01, 1.934889122e-10,
 8.000000000e-01, 8.000000000e-01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -3.792810753e-10, 1.000000000e-01, 1.000000000e-01, 3.792810741e-10,
 1.000000000e+00, 1.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -6.421469627e-10, 1.000000000e-01, 1.000000000e-01, 6.421469471e-10,
 1.200000000e+00, 1.200000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.021141115e-09, 1.000000000e-01, 1.000000000e-01, 1.021141115e-09,
 1.400000000e+00, 1.400000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.586687231e-09, 1.000000000e-01, 1.000000000e-01, 1.586687246e-09,
 1.600000000e+00, 1.600000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -2.449285507e-09, 1.000000000e-01, 1.000000000e-01, 2.449285506e-09,
 1.800000000e+00, 1.800000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -3.736281059e-09, 1.000000000e-01, 1.000000000e-01, 3.736281056e-09,
 2.000000000e+00, 2.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -5.502142278e-09, 1.000000000e-01, 1.000000000e-01, 5.502142280e-09,
 2.200000000e+00, 2.200000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -7.663872830e-09, 1.000000000e-01, 1.000000000e-01, 7.663872827e-09,
 2.400000000e+00, 2.400000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.007571839e-08, 1.000000000e-01, 1.000000000e-01, 1.007560351e-08,
 2.600000000e+00, 2.600000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.262413119e-08, 1.000000000e-01, 1.000000000e-01, 1.262398628e-08,
 2.800000000e+00, 2.800000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.524733724e-08, 1.000000000e-01, 1.000000000e-01, 1.524720823e-08,
 3.000000000e+00, 3.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.791873033e-08, 1.000000000e-01, 1.000000000e-01, 1.791873021e-08,
 3.200000000e+00, 3.200000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -2.063104759e-08, 1.000000000e-01, 1.000000000e-01, 2.063104736e-08,
 3.400000000e+00, 3.400000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -2.338664607e-08, 1.000000000e-01, 1.000000000e-01, 2.338664590e-08,
 3.600000000e+00, 3.600000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -2.619285028e-08, 1.000000000e-01, 1.000000000e-01, 2.619285014e-08,
 3.800000000e+00, 3.800000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -2.905942472e-08, 1.000000000e-01, 1.000000000e-01, 2.905942464e-08,
 4.000000000e+00, 4.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -3.199730853e-08, 1.000000000e-01, 1.000000000e-01, 3.199730852e-08,
 4.200000000e+00, 4.200000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -3.501793402e-08, 1.000000000e-01, 1.000000000e-01, 3.501793399e-08,
