 "gate Voltage (V)", "gate Int. Voltage (V)",  "gate Current (A)", "source Voltage (V)", "source Int. Voltage (V)",  "source Current (A)", "drain Voltage (V)", "drain Int. Voltage (V)",  "drain Current (A)",
 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -3.501380576e-10, 1.000000000e-01, 1.000000000e-01, 3.501380665e-10,
 -1.000000000e-01, -1.000000000e-01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.976980422e-10, 1.000000000e-01, 1.000000000e-01, 1.976980261e-10,
 -2.000000000e-01, -2.000000000e-01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -9.152097439e-11, 1.000000000e-01, 1.000000000e-01, 9.152099226e-11,
 -3.000000000e-01, -3.000000000e-01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -3.336990852e-11, 1.000000000e-01, 1.000000000e-01, 3.336992163e-11,
 -4.000000000e-01, -4.000000000e-01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.190120573e-11, 1.000000000e-01, 1.000000000e-01, 1.190120859e-11,
 -5.000000000e-01, -5.000000000e-01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -4.652542729e-12, 1.000000000e-01, 1.000000000e-01, 4.652548964e-12,
 -6.000000000e-01, -6.000000000e-01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.652510911e-12, 1.000000000e-01, 1.000000000e-01, 1.652476106e-12,
 -7.000000000e-01, -7.000000000e-01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -3.875819809e-13, 1.000000000e-01, 1.000000000e-01, 3.875740492e-13,
 -8.000000000e-01, -8.000000000e-01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -6.810780694e-14, 1.000000000e-01, 1.000000000e-01, 6.811266034e-14,
 -9.000000000e-01, -9.000000000e-01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.392057208e-14, 1.000000000e-01, 1.000000000e-01, 1.392917737e-14,
 -1.000000000e+00, -1.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.824187872e-15, 1.000000000e-01, 1.000000000e-01, 1.812474687e-15,
 -1.100000000e+00, -1.100000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.789882001e-16, 1.000000000e-01, 1.000000000e-01, 1.729286963e-16,
 -1.200000000e+00, -1.200000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, 1.012748314e-18, 1.000000000e-01, 1.000000000e-01, 1.361284157e-17,
 -1.300000000e+00, -1.300000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -3.829594096e-18, 1.000000000e-01, 1.000000000e-01, 1.177897197e-17,
 -1.400000000e+00, -1.400000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -2.226452975e-18, 1.000000000e-01, 1.000000000e-01, -1.589278818e-18,
 -1.500000000e+00, -1.500000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.907886488e-18, 1.000000000e-01, 1.000000000e-01, -1.144716747e-17,
 -1.600000000e+00, -1.600000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -3.497752828e-18, 1.000000000e-01, 1.000000000e-01, 8.903369881e-18,
 -1.700000000e+00, -1.700000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, 9.221346723e-18, 1.000000000e-01, 1.000000000e-01, 8.903369282e-18,
 -1.800000000e+00, -1.800000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, 2.543819790e-18, 1.000000000e-01, 1.000000000e-01, -7.631459370e-18,
 -1.900000000e+00, -1.900000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -3.815729685e-18, 1.000000000e-01, 1.000000000e-01, -1.462696379e-17,
 -2.000000000e+00, -2.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -7.313481897e-18, 1.000000000e-01, 1.000000000e-01, 6.995504423e-18,
 -2.100000000e+00, -2.100000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -3.815729685e-18, 1.000000000e-01, 1.000000000e-01, 1.494494127e-17,
 -2.200000000e+00, -2.200000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, 9.221346739e-18, 1.000000000e-01, 1.000000000e-01, -6.359549475e-19,
 -2.300000000e+00, -2.300000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, 6.677526949e-18, 1.000000000e-01, 1.000000000e-01, -4.451684633e-18,
 -2.400000000e+00, -2.400000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, 1.017527916e-17, 1.000000000e-01, 1.000000000e-01, -6.995504423e-18,
 -2.500000000e+00, -2.500000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, 1.049325663e-17, 1.000000000e-01, 1.000000000e-01, 1.653482864e-17,
 -2.600000000e+00, -2.600000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.271909895e-18, 1.000000000e-01, 1.000000000e-01, 4.769662107e-18,
 -2.700000000e+00, -2.700000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, 1.462696379e-17, 1.000000000e-01, 1.000000000e-01, -9.539324213e-19,
 -2.800000000e+00, -2.800000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.449977280e-16, 1.000000000e-01, 1.000000000e-01, -1.338685165e-16,
 -2.900000000e+00, -2.900000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -4.795100305e-16, 1.000000000e-01, 1.000000000e-01, -4.912751970e-16,
 -2.950000000e+00, -2.950000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -9.300841108e-16, 1.000000000e-01, 1.000000000e-01, -8.652167061e-16,
 -3.000000000e+00, -3.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.056957123e-15, 1.000000000e-01, 1.000000000e-01, -1.005444772e-15,
 -3.012500000e+00, -3.012500000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -6.270515783e-16, 1.000000000e-01, 1.000000000e-01, -6.375448349e-16,
 -3.025000000e+00, -3.025000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -3.752134191e-16, 1.000000000e-01, 1.000000000e-01, -3.685358921e-16,
 -3.050000000e+00, -3.050000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -4.419886885e-17, 1.000000000e-01, 1.000000000e-01, -3.243370233e-17,
 -3.100000000e+00, -3.100000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -5.758572050e-16, 1.000000000e-01, 1.000000000e-01, -5.733133852e-16,
 -3.200000000e+00, -3.200000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -5.977976507e-17, 1.000000000e-01, 1.000000000e-01, -7.885841350e-17,
 -3.300000000e+00, -3.300000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -4.222740852e-16, 1.000000000e-01, 1.000000000e-01, -4.108268961e-16,
 -3.400000000e+00, -3.400000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.519932325e-16, 1.000000000e-01, 1.000000000e-01, -1.523112099e-16,
 -3.500000000e+00, -3.500000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -4.849156475e-16, 1.000000000e-01, 1.000000000e-01, -5.132156427e-16,
 -3.600000000e+00, -3.600000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -9.463009620e-16, 1.000000000e-01, 1.000000000e-01, -9.316739982e-16,
 -3.700000000e+00, -3.700000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.310067192e-16, 1.000000000e-01, 1.000000000e-01, -1.488134577e-16,
 -3.800000000e+00, -3.800000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -4.760122782e-16, 1.000000000e-01, 1.000000000e-01, -4.667909315e-16,
 -3.900000000e+00, -3.900000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -3.621763426e-16, 1.000000000e-01, 1.000000000e-01, -3.717156668e-16,
 -4.000000000e+00, -4.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.329145840e-16, 1.000000000e-01, 1.000000000e-01, -1.154258230e-16,
 -4.100000000e+00, -4.100000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -2.740965824e-16, 1.000000000e-01, 1.000000000e-01, -2.709168077e-16,
 -4.200000000e+00, -4.200000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -2.597875961e-16, 1.000000000e-01, 1.000000000e-01, -2.515201818e-16,
 -4.300000000e+00, -4.300000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -4.909572195e-16, 1.000000000e-01, 1.000000000e-01, -4.810999178e-16,
 -4.400000000e+00, -4.400000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.793392952e-16, 1.000000000e-01, 1.000000000e-01, -1.809291826e-16,
 -4.500000000e+00, -4.500000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.507213226e-15, 1.000000000e-01, 1.000000000e-01, -1.459834582e-15,
 -4.600000000e+00, -4.600000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -4.458044182e-16, 1.000000000e-01, 1.000000000e-01, -4.105089186e-16,
 -4.700000000e+00, -4.700000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.186055977e-16, 1.000000000e-01, 1.000000000e-01, -1.122460482e-16,
 -4.800000000e+00, -4.800000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -7.345279644e-17, 1.000000000e-01, 1.000000000e-01, -8.903369266e-17,
 -4.900000000e+00, -4.900000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -2.737786049e-16, 1.000000000e-01, 1.000000000e-01, -2.597875961e-16,
 -5.000000000e+00, -5.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -2.197224344e-16, 1.000000000e-01, 1.000000000e-01, -2.136808624e-16,
 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -3.501380716e-10, 1.000000000e-01, 1.000000000e-01, 3.501380783e-10,
