 "gate Voltage (V)", "gate Int. Voltage (V)",  "gate Current (A)", "source Voltage (V)", "source Int. Voltage (V)",  "source Current (A)", "drain Voltage (V)", "drain Int. Voltage (V)",  "drain Current (A)",
 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.877123770e-09, 1.000000000e-01, 1.000000000e-01, 1.877123782e-09,
 -1.000000000e-01, -1.000000000e-01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.321977243e-09, 1.000000000e-01, 1.000000000e-01, 1.321977231e-09,
 -2.000000000e-01, -2.000000000e-01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -8.754225755e-10, 1.000000000e-01, 1.000000000e-01, 8.754225860e-10,
 -3.000000000e-01, -3.000000000e-01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -5.324129388e-10, 1.000000000e-01, 1.000000000e-01, 5.324129552e-10,
 -4.000000000e-01, -4.000000000e-01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -2.806799077e-10, 1.000000000e-01, 1.000000000e-01, 2.806799338e-10,
 -5.000000000e-01, -5.000000000e-01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.117541114e-10, 1.000000000e-01, 1.000000000e-01, 1.117540821e-10,
 -6.000000000e-01, -6.000000000e-01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -2.873012050e-11, 1.000000000e-01, 1.000000000e-01, 2.873010926e-11,
 -7.000000000e-01, -7.000000000e-01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -6.370578397e-12, 1.000000000e-01, 1.000000000e-01, 6.370551324e-12,
 -8.000000000e-01, -8.000000000e-01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.267674192e-12, 1.000000000e-01, 1.000000000e-01, 1.267677174e-12,
 -9.000000000e-01, -9.000000000e-01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.362935329e-13, 1.000000000e-01, 1.000000000e-01, 1.362793048e-13,
 -1.000000000e+00, -1.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.368516306e-14, 1.000000000e-01, 1.000000000e-01, 1.371229694e-14,
 -1.100000000e+00, -1.100000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -9.177012676e-16, 1.000000000e-01, 1.000000000e-01, 9.169311377e-16,
 -1.200000000e+00, -1.200000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -3.968644558e-17, 1.000000000e-01, 1.000000000e-01, 5.526250582e-17,
 -1.300000000e+00, -1.300000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, 1.300293966e-17, 1.000000000e-01, 1.000000000e-01, 6.711516090e-18,
