 "gate Voltage (V)", "gate Int. Voltage (V)",  "gate Current (A)", "source Voltage (V)", "source Int. Voltage (V)",  "source Current (A)", "drain Voltage (V)", "drain Int. Voltage (V)",  "drain Current (A)",
 2.000000000e-01, 2.000000000e-01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -3.278197141e-09, 1.000000000e-01, 1.000000000e-01, 3.278197153e-09,
 4.000000000e-01, 4.000000000e-01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -4.953803297e-09, 1.000000000e-01, 1.000000000e-01, 4.953803294e-09,
 6.000000000e-01, 6.000000000e-01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -6.784414477e-09, 1.000000000e-01, 1.000000000e-01, 6.784414517e-09,
 8.000000000e-01, 8.000000000e-01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -8.699725079e-09, 1.000000000e-01, 1.000000000e-01, 8.699725063e-09,
 1.000000000e+00, 1.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.066461747e-08, 1.000000000e-01, 1.000000000e-01, 1.066461748e-08,
 1.200000000e+00, 1.200000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.268293267e-08, 1.000000000e-01, 1.000000000e-01, 1.266247619e-08,
 1.400000000e+00, 1.400000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.470655165e-08, 1.000000000e-01, 1.000000000e-01, 1.468782241e-08,
 1.600000000e+00, 1.600000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.675522407e-08, 1.000000000e-01, 1.000000000e-01, 1.673886856e-08,
 1.800000000e+00, 1.800000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.883075460e-08, 1.000000000e-01, 1.000000000e-01, 1.881633174e-08,
 2.000000000e+00, 2.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -2.093459939e-08, 1.000000000e-01, 1.000000000e-01, 2.092205509e-08,
 2.200000000e+00, 2.200000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -2.306879526e-08, 1.000000000e-01, 1.000000000e-01, 2.305810787e-08,
 2.400000000e+00, 2.400000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -2.523528295e-08, 1.000000000e-01, 1.000000000e-01, 2.522640544e-08,
 2.600000000e+00, 2.600000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -2.743571124e-08, 1.000000000e-01, 1.000000000e-01, 2.742850908e-08,
 2.800000000e+00, 2.800000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -2.967128357e-08, 1.000000000e-01, 1.000000000e-01, 2.966555543e-08,
 3.000000000e+00, 3.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -3.194273625e-08, 1.000000000e-01, 1.000000000e-01, 3.193825381e-08,
 3.200000000e+00, 3.200000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -3.425037847e-08, 1.000000000e-01, 1.000000000e-01, 3.424692493e-08,
 3.400000000e+00, 3.400000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -3.659419036e-08, 1.000000000e-01, 1.000000000e-01, 3.659156238e-08,
 3.600000000e+00, 3.600000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -3.897388421e-08, 1.000000000e-01, 1.000000000e-01, 3.897190285e-08,
