 "gate Voltage (V)", "gate Int. Voltage (V)",  "gate Current (A)", "source Voltage (V)", "source Int. Voltage (V)",  "source Current (A)", "drain Voltage (V)", "drain Int. Voltage (V)",  "drain Current (A)",
 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.932082436e-05, 1.000000000e-01, 1.000000000e-01, 1.932082436e-05,
 -1.000000000e-01, -1.000000000e-01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.931431933e-05, 1.000000000e-01, 1.000000000e-01, 1.931431933e-05,
 -2.000000000e-01, -2.000000000e-01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.930785219e-05, 1.000000000e-01, 1.000000000e-01, 1.930785219e-05,
 -3.000000000e-01, -3.000000000e-01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.930142276e-05, 1.000000000e-01, 1.000000000e-01, 1.930142276e-05,
 -4.000000000e-01, -4.000000000e-01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.929503085e-05, 1.000000000e-01, 1.000000000e-01, 1.929503085e-05,
 -5.000000000e-01, -5.000000000e-01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.928867627e-05, 1.000000000e-01, 1.000000000e-01, 1.928867627e-05,
 -6.000000000e-01, -6.000000000e-01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.928235883e-05, 1.000000000e-01, 1.000000000e-01, 1.928235883e-05,
 -7.000000000e-01, -7.000000000e-01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.927607833e-05, 1.000000000e-01, 1.000000000e-01, 1.927607833e-05,
 -8.000000000e-01, -8.000000000e-01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.926983459e-05, 1.000000000e-01, 1.000000000e-01, 1.926983459e-05,
 -9.000000000e-01, -9.000000000e-01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.926362741e-05, 1.000000000e-01, 1.000000000e-01, 1.926362741e-05,
 -1.000000000e+00, -1.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.925745659e-05, 1.000000000e-01, 1.000000000e-01, 1.925745659e-05,
 -1.100000000e+00, -1.100000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.925132195e-05, 1.000000000e-01, 1.000000000e-01, 1.925132195e-05,
 -1.200000000e+00, -1.200000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.924522330e-05, 1.000000000e-01, 1.000000000e-01, 1.924522330e-05,
 -1.300000000e+00, -1.300000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.923916042e-05, 1.000000000e-01, 1.000000000e-01, 1.923916042e-05,
 -1.400000000e+00, -1.400000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.923313314e-05, 1.000000000e-01, 1.000000000e-01, 1.923313314e-05,
 -1.500000000e+00, -1.500000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.922714126e-05, 1.000000000e-01, 1.000000000e-01, 1.922714126e-05,
 -1.600000000e+00, -1.600000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.922118458e-05, 1.000000000e-01, 1.000000000e-01, 1.922118458e-05,
 -1.700000000e+00, -1.700000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.921526291e-05, 1.000000000e-01, 1.000000000e-01, 1.921526291e-05,
 -1.800000000e+00, -1.800000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.920937605e-05, 1.000000000e-01, 1.000000000e-01, 1.920937605e-05,
 -1.900000000e+00, -1.900000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.920352381e-05, 1.000000000e-01, 1.000000000e-01, 1.920352381e-05,
 -2.000000000e+00, -2.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.919770599e-05, 1.000000000e-01, 1.000000000e-01, 1.919770599e-05,
 -2.100000000e+00, -2.100000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.919192240e-05, 1.000000000e-01, 1.000000000e-01, 1.919192240e-05,
 -2.200000000e+00, -2.200000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.918617283e-05, 1.000000000e-01, 1.000000000e-01, 1.918617283e-05,
 -2.300000000e+00, -2.300000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.918045711e-05, 1.000000000e-01, 1.000000000e-01, 1.918045711e-05,
 -2.400000000e+00, -2.400000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.917477502e-05, 1.000000000e-01, 1.000000000e-01, 1.917477502e-05,
 -2.500000000e+00, -2.500000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.916912638e-05, 1.000000000e-01, 1.000000000e-01, 1.916912638e-05,
 -2.600000000e+00, -2.600000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.916351099e-05, 1.000000000e-01, 1.000000000e-01, 1.916351099e-05,
 -2.700000000e+00, -2.700000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.915792865e-05, 1.000000000e-01, 1.000000000e-01, 1.915792865e-05,
 -2.800000000e+00, -2.800000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.915237917e-05, 1.000000000e-01, 1.000000000e-01, 1.915237917e-05,
