 "gate Voltage (V)", "gate Int. Voltage (V)",  "gate Current (A)", "source Voltage (V)", "source Int. Voltage (V)",  "source Current (A)", "drain Voltage (V)", "drain Int. Voltage (V)",  "drain Current (A)",
 2.000000000e-01, 2.000000000e-01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -5.118881469e-05, 1.000000000e-01, 1.000000000e-01, 5.118881469e-05,
 4.000000000e-01, 4.000000000e-01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -5.120842892e-05, 1.000000000e-01, 1.000000000e-01, 5.120842892e-05,
 6.000000000e-01, 6.000000000e-01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -5.122818313e-05, 1.000000000e-01, 1.000000000e-01, 5.122818313e-05,
 8.000000000e-01, 8.000000000e-01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -5.124807755e-05, 1.000000000e-01, 1.000000000e-01, 5.124807755e-05,
 1.000000000e+00, 1.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -5.126811242e-05, 1.000000000e-01, 1.000000000e-01, 5.126811242e-05,
 1.200000000e+00, 1.200000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -5.128828794e-05, 1.000000000e-01, 1.000000000e-01, 5.128828794e-05,
 1.400000000e+00, 1.400000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -5.130860432e-05, 1.000000000e-01, 1.000000000e-01, 5.130860432e-05,
 1.600000000e+00, 1.600000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -5.132906172e-05, 1.000000000e-01, 1.000000000e-01, 5.132906172e-05,
 1.800000000e+00, 1.800000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -5.134966032e-05, 1.000000000e-01, 1.000000000e-01, 5.134966032e-05,
 2.000000000e+00, 2.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -5.137040029e-05, 1.000000000e-01, 1.000000000e-01, 5.137040029e-05,
 2.200000000e+00, 2.200000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -5.139128175e-05, 1.000000000e-01, 1.000000000e-01, 5.139128175e-05,
 2.400000000e+00, 2.400000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -5.141230484e-05, 1.000000000e-01, 1.000000000e-01, 5.141230484e-05,
 2.600000000e+00, 2.600000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -5.143346967e-05, 1.000000000e-01, 1.000000000e-01, 5.143346967e-05,
 2.800000000e+00, 2.800000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -5.145477635e-05, 1.000000000e-01, 1.000000000e-01, 5.145477635e-05,
 3.000000000e+00, 3.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -5.147622497e-05, 1.000000000e-01, 1.000000000e-01, 5.147622497e-05,
 3.200000000e+00, 3.200000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -5.149781559e-05, 1.000000000e-01, 1.000000000e-01, 5.149781559e-05,
 3.400000000e+00, 3.400000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -5.151954829e-05, 1.000000000e-01, 1.000000000e-01, 5.151954829e-05,
 3.600000000e+00, 3.600000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -5.154142312e-05, 1.000000000e-01, 1.000000000e-01, 5.154142312e-05,
 3.800000000e+00, 3.800000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -5.156344010e-05, 1.000000000e-01, 1.000000000e-01, 5.156344010e-05,
 4.000000000e+00, 4.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -5.158559926e-05, 1.000000000e-01, 1.000000000e-01, 5.158559926e-05,
 4.200000000e+00, 4.200000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -5.160790062e-05, 1.000000000e-01, 1.000000000e-01, 5.160790062e-05,
 4.400000000e+00, 4.400000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -5.163034417e-05, 1.000000000e-01, 1.000000000e-01, 5.163034417e-05,
 4.600000000e+00, 4.600000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -5.165292990e-05, 1.000000000e-01, 1.000000000e-01, 5.165292990e-05,
 4.800000000e+00, 4.800000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -5.167565778e-05, 1.000000000e-01, 1.000000000e-01, 5.167565778e-05,
 5.000000000e+00, 5.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -5.169852778e-05, 1.000000000e-01, 1.000000000e-01, 5.169852778e-05,
 5.200000000e+00, 5.200000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -5.172153984e-05, 1.000000000e-01, 1.000000000e-01, 5.172153984e-05,
 5.400000000e+00, 5.400000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -5.174469390e-05, 1.000000000e-01, 1.000000000e-01, 5.174469390e-05,
 5.600000000e+00, 5.600000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -5.176798989e-05, 1.000000000e-01, 1.000000000e-01, 5.176798989e-05,
 5.800000000e+00, 5.800000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -5.179142772e-05, 1.000000000e-01, 1.000000000e-01, 5.179142772e-05,
 6.000000000e+00, 6.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -5.181500729e-05, 1.000000000e-01, 1.000000000e-01, 5.181500729e-05,
 6.200000000e+00, 6.200000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -5.183872850e-05, 1.000000000e-01, 1.000000000e-01, 5.183872850e-05,
 6.400000000e+00, 6.400000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -5.186259123e-05, 1.000000000e-01, 1.000000000e-01, 5.186259123e-05,
 6.600000000e+00, 6.600000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -5.188659534e-05, 1.000000000e-01, 1.000000000e-01, 5.188659534e-05,
 6.800000000e+00, 6.800000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -5.191074069e-05, 1.000000000e-01, 1.000000000e-01, 5.191074069e-05,
 7.000000000e+00, 7.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -5.193502714e-05, 1.000000000e-01, 1.000000000e-01, 5.193502714e-05,
 7.200000000e+00, 7.200000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -5.195945451e-05, 1.000000000e-01, 1.000000000e-01, 5.195945451e-05,
 7.400000000e+00, 7.400000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -5.198402264e-05, 1.000000000e-01, 1.000000000e-01, 5.198402264e-05,
 7.600000000e+00, 7.600000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -5.200873133e-05, 1.000000000e-01, 1.000000000e-01, 5.200873133e-05,
 7.800000000e+00, 7.800000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -5.203358041e-05, 1.000000000e-01, 1.000000000e-01, 5.203358041e-05,
 8.000000000e+00, 8.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -5.205856966e-05, 1.000000000e-01, 1.000000000e-01, 5.205856966e-05,
