 "gate Voltage (V)", "gate Int. Voltage (V)",  "gate Current (A)", "source Voltage (V)", "source Int. Voltage (V)",  "source Current (A)", "drain Voltage (V)", "drain Int. Voltage (V)",  "drain Current (A)",
 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -2.834531685e-09, 1.000000000e-01, 1.000000000e-01, 2.834531693e-09,
 -1.000000000e-01, -1.000000000e-01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.835869293e-09, 1.000000000e-01, 1.000000000e-01, 1.835869278e-09,
 -2.000000000e-01, -2.000000000e-01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.119604147e-09, 1.000000000e-01, 1.000000000e-01, 1.119604158e-09,
 -3.000000000e-01, -3.000000000e-01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -6.342772446e-10, 1.000000000e-01, 1.000000000e-01, 6.342772296e-10,
 -4.000000000e-01, -4.000000000e-01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -3.158879152e-10, 1.000000000e-01, 1.000000000e-01, 3.158879191e-10,
 -5.000000000e-01, -5.000000000e-01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.198495764e-10, 1.000000000e-01, 1.000000000e-01, 1.198495716e-10,
 -6.000000000e-01, -6.000000000e-01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -2.948061873e-11, 1.000000000e-01, 1.000000000e-01, 2.948060178e-11,
 -7.000000000e-01, -7.000000000e-01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -6.405627119e-12, 1.000000000e-01, 1.000000000e-01, 6.405613229e-12,
 -8.000000000e-01, -8.000000000e-01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.269545746e-12, 1.000000000e-01, 1.000000000e-01, 1.269576081e-12,
 -9.000000000e-01, -9.000000000e-01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.363235762e-13, 1.000000000e-01, 1.000000000e-01, 1.363386534e-13,
 -1.000000000e+00, -1.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.368530751e-14, 1.000000000e-01, 1.000000000e-01, 1.368085625e-14,
 -1.100000000e+00, -1.100000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -9.239353543e-16, 1.000000000e-01, 1.000000000e-01, 9.139724912e-16,
 -1.200000000e+00, -1.200000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -5.208228798e-17, 1.000000000e-01, 1.000000000e-01, 3.013807772e-17,
 -1.300000000e+00, -1.300000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.211711879e-17, 1.000000000e-01, 1.000000000e-01, -1.556028058e-18,
 -1.400000000e+00, -1.400000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, 2.224690481e-18, 1.000000000e-01, 1.000000000e-01, -9.527831937e-19,
 -1.500000000e+00, -1.500000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, 3.179454178e-19, 1.000000000e-01, 1.000000000e-01, 1.271941906e-18,
 -1.600000000e+00, -1.600000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, 9.857300890e-18, 1.000000000e-01, 1.000000000e-01, 7.631460167e-18,
 -1.700000000e+00, -1.700000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, 6.995504404e-18, 1.000000000e-01, 1.000000000e-01, 1.144718907e-17,
 -1.800000000e+00, -1.800000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, 3.179774737e-18, 1.000000000e-01, 1.000000000e-01, -1.367303137e-17,
 -1.900000000e+00, -1.900000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -3.179774738e-19, 1.000000000e-01, 1.000000000e-01, 3.179774738e-19,
 -2.000000000e+00, -2.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -4.133707159e-18, 1.000000000e-01, 1.000000000e-01, 2.225842316e-18,
 -2.100000000e+00, -2.100000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -4.133707159e-18, 1.000000000e-01, 1.000000000e-01, -3.815729685e-18,
 -2.200000000e+00, -2.200000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -9.539324213e-19, 1.000000000e-01, 1.000000000e-01, -1.271909895e-18,
 -2.300000000e+00, -2.300000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -9.857301687e-18, 1.000000000e-01, 1.000000000e-01, -1.526291874e-17,
 -2.400000000e+00, -2.400000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, 3.815729685e-18, 1.000000000e-01, 1.000000000e-01, 3.815729685e-18,
 -2.500000000e+00, -2.500000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, 6.677526949e-18, 1.000000000e-01, 1.000000000e-01, -2.416628801e-17,
 -2.600000000e+00, -2.600000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -9.221346739e-18, 1.000000000e-01, 1.000000000e-01, -1.589887369e-18,
 -2.700000000e+00, -2.700000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, 6.677526949e-18, 1.000000000e-01, 1.000000000e-01, -3.497752212e-18,
 -2.800000000e+00, -2.800000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -2.381651279e-16, 1.000000000e-01, 1.000000000e-01, -2.257640064e-16,
 -2.900000000e+00, -2.900000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -6.133785469e-16, 1.000000000e-01, 1.000000000e-01, -5.904841688e-16,
 -2.950000000e+00, -2.950000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -7.138594286e-16, 1.000000000e-01, 1.000000000e-01, -7.030481945e-16,
 -3.000000000e+00, -3.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -4.817358728e-16, 1.000000000e-01, 1.000000000e-01, -4.826898052e-16,
 -3.050000000e+00, -3.050000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.345362692e-15, 1.000000000e-01, 1.000000000e-01, -1.310067192e-15,
 -3.100000000e+00, -3.100000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -8.429582830e-16, 1.000000000e-01, 1.000000000e-01, -8.261054769e-16,
 -3.150000000e+00, -3.150000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.001311065e-15, 1.000000000e-01, 1.000000000e-01, -1.000675110e-15,
 -3.200000000e+00, -3.200000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -6.779279741e-16, 1.000000000e-01, 1.000000000e-01, -6.839695461e-16,
 -3.300000000e+00, -3.300000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -4.006516170e-16, 1.000000000e-01, 1.000000000e-01, -4.127347610e-16,
 -3.400000000e+00, -3.400000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -8.849313095e-16, 1.000000000e-01, 1.000000000e-01, -8.604470440e-16,
 -3.500000000e+00, -3.500000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -2.483404070e-16, 1.000000000e-01, 1.000000000e-01, -2.575617538e-16,
 -3.600000000e+00, -3.600000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -6.928729154e-16, 1.000000000e-01, 1.000000000e-01, -7.094077440e-16,
 -3.700000000e+00, -3.700000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -4.508920578e-16, 1.000000000e-01, 1.000000000e-01, -4.508920578e-16,
 -3.800000000e+00, -3.800000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -6.737942669e-16, 1.000000000e-01, 1.000000000e-01, -6.556695509e-16,
 -3.900000000e+00, -3.900000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -3.287887079e-16, 1.000000000e-01, 1.000000000e-01, -3.027145550e-16,
 -4.000000000e+00, -4.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -3.475493788e-16, 1.000000000e-01, 1.000000000e-01, -3.364201673e-16,
 -4.100000000e+00, -4.100000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -6.613931455e-17, 1.000000000e-01, 1.000000000e-01, -4.706066612e-17,
 -4.200000000e+00, -4.200000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -8.044830086e-17, 1.000000000e-01, 1.000000000e-01, -6.359549475e-17,
 -4.300000000e+00, -4.300000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.195595301e-16, 1.000000000e-01, 1.000000000e-01, -1.221033499e-16,
 -4.400000000e+00, -4.400000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.472235704e-15, 1.000000000e-01, 1.000000000e-01, -1.451249190e-15,
 -4.500000000e+00, -4.500000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -3.208392710e-16, 1.000000000e-01, 1.000000000e-01, -3.316505051e-16,
 -4.600000000e+00, -4.600000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.154258230e-16, 1.000000000e-01, 1.000000000e-01, -1.023887466e-16,
 -4.700000000e+00, -4.700000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -3.462774689e-16, 1.000000000e-01, 1.000000000e-01, -3.465954464e-16,
 -4.800000000e+00, -4.800000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -5.818987770e-17, 1.000000000e-01, 1.000000000e-01, -3.815729685e-17,
 -4.900000000e+00, -4.900000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.453157055e-16, 1.000000000e-01, 1.000000000e-01, -1.519932325e-16,
 -5.000000000e+00, -5.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -1.483046938e-15, 1.000000000e-01, 1.000000000e-01, -1.438530091e-15,
 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, -2.834531698e-09, 1.000000000e-01, 1.000000000e-01, 2.834531694e-09,
